Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions
ENVB,1.32,EB-003 (EVM301 series),Mental health disorders ,Preclinical,01/03/2024,"Preclinical development to commence in early 2024, with IND submission planned in 2024, noted January 3, 2024.",3.0
IFRX,1.83,INF904,Chronic Autoimmune and Inflammatory Diseases ,Phase 1,01/04/2024,Phase 1 MAD results from 24 healthy volunteers showed that study was well tolerated in participants over the entire dose range and resulted in no safety signals of concern. The overall percentage of A,59.0
GLYC,3,GMI-1687,Healthy volunteers ,Phase 1a,01/04/2024,"Phase 1a Initial results demonstrated that subcutaneous dosing achieved target therapeutic plasma concentration and linear pharmacokinetics with rapid renal clearance across all dosing levels, noted",13.0
ADCT,1.88,ADCT-601 (mipasetamab uzoptirine),"Soft tissue sarcomas, pancreatic cancer and AXL-expressing non-small cell lung cancer (NSCLC) ",Phase 1b,01/04/2024,"Preliminary Phase 1 data shows the maximum-tolerated dose has been reached, and the study is currently in dose optimization, noted Janaury 4, 2024.",112.0
ADCT,1.88,ADCT-901,Solid tumors ,Phase 1,01/04/2024,"Program discontinued due to limited signs of efficacy in the dose escalation phase and to reallocate capital to prioritized programs, noted January 4, 2024.",112.0
ALDX,3.34,ADX-629,Sjögren-Larsson Syndrome (SLS) ,Phase 1/2,01/04/2024,Phase 2 biomarker results observed in adult cohort proposed expansion to include pediatric patients expected to be submitted to the FDA in the 1H 2024.,59.0
ALDX,3.34,ADX-246,Systemic Immune-Mediated Diseases and atopic dermatitis ,Phase 1,01/04/2024,"Phase 1 expanded to include patients with atopic dermatitis, noted Janaury 4, 2024.",59.0
KNSA,19.13,Abiprubart (KPL-404),Rheumatoid arthritis ,Phase 2,01/04/2024,"Phase 2 trial met its primary endpoint, noted January 4, 2024.",74.0
RYTM,43.31,Bivamelagon (LB54640),Healthy overweight adults ,Phase 1,01/04/2024,"Phase 1 has shown targeted effect on MC4 receptor without hyperpigmentation, noted January 4, 2024.",66.0
SNGX,0.91,SGX302/hypericin sodium,Psoriasis ,Phase 2a,01/04/2024,"Phase 2a data reported that two patients reached a disease status of ""Almost Clear"" represented by an Investigator Global Assessment (IGA) score of 1, noted January 4, 2024.",4.0
PRTG,1.35,IMM60 - (PORT-2),Refractory NSCLC & Melanoma ,Phase 1,01/04/2024,"Phase 2 paused after a review of Portage's funding requirements, noted January 4, 2024.",2.0
MRK,116.27,IMM60 - (PORT-2),Refractory NSCLC & Melanoma ,Phase 1,01/04/2024,"Phase 2 paused after a review of Portage's funding requirements, noted January 4, 2024.",
IMMP,2.41,Eftilagimod alpha - INSIGHT-004,Solid tumors ,Phase 1,01/04/2024,"Phase 1 dosing initiated, noted January 4, 2024.",145.0
APLT,3.79,AT-001 - (ARISE-HF),Diabetic cardiomyopathy (DbCM) ,Phase 3,01/04/2024,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar",144.0
APLT,3.79,AT-001 - (ARISE-HF),Diabetic cardiomyopathy (DbCM) ,Phase 3,01/04/2024,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar",144.0
TBPH,10.37,YUPELRI (revefenacin) - (PIFR-2),Chronic obstructive pulmonary disease (COPD) ,Phase 3,01/05/2024,"Phase 4 data reported that the trial did not show a statistically significant difference between YUPELRI and Spiriva HandiHaler on the primary endpoint, noted January 5, 2024.",50.0
CVAC,4.34,CV0601,COVID-19 vaccine ,Phase 2,01/05/2024,"Phase 2 data reported a meaningful immune responses and favorable reactogenicity profiles across all tested doses, including the lowest tested dose, noted January 5, 2024.",224.0
GSK,38.51,XMT-2056,HER2-Expressing Tumors ,Phase 1,01/05/2024,"Phase 1 clinical trial restarting; plan to advance dose escalation in 2024, noted January 5, 2024.",
MRSN,2.27,XMT-2056,HER2-Expressing Tumors ,Phase 1,01/05/2024,"Phase 1 clinical trial restarting; plan to advance dose escalation in 2024, noted January 5, 2024.",4.0
FBIO,2.42,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular Rosacea ,NDA Filing,01/05/2024,"NDA submitted to the FDA, noted January 5, 2024.",29.0
DERM,5.05,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular Rosacea ,NDA Filing,01/05/2024,"NDA submitted to the FDA, noted January 5, 2024.",24.0
NOVN,0,ZELSUVMI (berdazimer topical gel),Molluscum Contagiosum ,Approved,01/05/2024,"FDA Approved on January 5, 2023.",28.0
LGND,70.83,ZELSUVMI (berdazimer topical gel),Molluscum Contagiosum ,Approved,01/05/2024,"FDA Approved on January 5, 2023.",19.0
PTHS,—,ZELSUVMI (berdazimer topical gel),Molluscum Contagiosum ,Approved,01/05/2024,"FDA Approved on January 5, 2023.",3.0
VINC,1.36,VIP236,Solid tumors ,Phase 1,01/08/2024,"Phase 1 update observed that 15 patients have been treated, showing a promising safety profile and preliminary evidence of clinical activity with once every 3-week dosing, noted January 8, 2024.",5.0
VINC,1.36,VIP943 (anti-CD123),Hematologic malignancies ,Phase 1,01/08/2024,"Phase 1 enrollment in the second cohort of the VIP943 trial is nearly complete. Preliminary pharmacokinetic results from the first cohort trial showed very little free payload in circulation, consiste",5.0
VINC,1.36,Enitociclib (VIP152) in combination with venetoclax and prednisone - (NIH trial),Peripheral T-cell lymphoma (PTCL) and 2 double-hit diffuse large b-cell lymphoma (DH-DLBCL) ,Phase 1,01/08/2024,"Phase 1 preliminary data from investigators from the National Institutes of Health (NIH) reported 2 partial responses (PR) in 3 PTCL patients and 1 PR in DH-DLBCL in ongoing dose-escalation trial, not",5.0
ARGX,413.29,Empasiprubart (ARGX-117) - (ARDA),Multifocal motor neuropathy (MMN) ,Phase 2,01/08/2024,"Phase 2 topline data reported that treatment demonstrated a 91% reduction in the need for IVIg rescue compared to placebo, noted January 8, 2024.",60.0
ABSI,4.18,ABS-101,Inflammatory bowel disease (IBD) ,Preclinical,01/08/2024,"Preclinical data support profile for development of a potential best-in-class drug. IND submission expected in 1Q 2025; Phase 1 trials anticipated to initiate shortly after, noted January 8, 2024.",149.0
VERU,0.56,Enobosarm with semaglutide (Wegovy) - (PLATEAU),Obesity ,IND-Enabling,01/08/2024,"IND submitted to the FDA, noted January 8, 2024.",14.0
BIOR,1.28,BT-600 + NaviCap Platform,Ulcerative Colitis (UC) ,Phase 1,01/08/2024,"Phase 1 dosing initiated, noted January 8, 2024.",4.0
ALT,11.39,Pemvidutide - (MOMENTUM),"Non-alcoholic steatohepatitis (NASH)/ (MASH) - Healthy, Overweight and Obese Volunteers ",Phase 2,01/08/2024,"Phase 2 results presented at NASH-TAG Conference reported that treatment resulted in reductions of up to 76.4% in relative LFC, 15.2 IU/L in serum ALT, and 149.7ms in cT1 at 24 weeks January 6, 2024.",88.0
CLRB,3.2,Iopofosine (CLR 131) - (CLOVER-WaM),Waldenstrom’s macroglobulinemia ,Phase 2b,01/08/2024,"Phase 2b trial met its primary endpoint, noted January 8, 2024.",3.0
ITOS,11.14,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM) ,Phase 1/2,01/08/2024,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",44.0
BMY,51.19,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM) ,Phase 1/2,01/08/2024,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",
GSK,38.94,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM) ,Phase 1/2,01/08/2024,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",
CLNN,0.35,CNM-Au8 - (VISIONARY-MS),Multiple Sclerosis ,Phase 2,01/08/2024,"Phase 2 long term data demonstrated improvement of vision as measured by low contrast visual acuity (LCLA), noted Janaury 8, 2024.",9.0
ABBV,158.39,lutikizumab (ABT-981),Hidradenitis suppurativa (HS) ,Phase 2,01/08/2024,"Phase 2 300 mg weekly or 300 mg dose every other week showed higher response rates in HiSCR 50 at week 16 than those treated with placebo, noted January 8, 2024.",
OKYO,1.89,urcosimod (OK-101),Dry Eye Disease (DED) ,Phase 2,01/08/2024,Phase 2 data presented at the Biotech Showcase showed that dose was statistically significant drug effects were observed in FDA-recognized efficacy endpoints as early as the 15-day first visit after d,33.0
NVO,105.64,Icosema - (COMBINE 3),Type 2 diabetes ,Phase 3,01/08/2024,"Phase 3a trial completed, noted January 8, 2024",
MNMD,4.39,MM-120 (LSD),Attention Deficit Hyperactivity Disorder (ADHD) ,Phase 2a,01/08/2024,"Phase 2a trial did not meet its primary endpoint, noted January 8, 2024.",75.0
NRIX,9.96,NX-2127,"B-cell malignancies, chronic lymphocytic leukemia (CLL) ",Phase 1b,01/08/2024,"The company expects to resolve partial hold to enable the introduction of newly manufactured drug product into the ongoing Phase 1 clinical trial., noted January 8, 2024.",76.0
INCY,65.82,INCB123667,"Late-stage cancers, ovarian cancer ",Phase 1,01/08/2024,"Phase 1 early clinical activity was observed with several patients with amplified/overexpression of CCNE1, a cell cycle regulator and potential predictive biomarker, achieving partial response (PR), n",195.0
INCY,65.82,Ruxolitinib Cream (Opzelura),Adults with hidradenitis suppurativa (HS) ,Phase 2,01/08/2024,"Phase 2 primary endpoint was met in its randomized, placebo-controlled study, noted on January 8, 2024.",195.0
NVS,103.22,Scemblix - (ASC4FIRST),1L Chronic myeloid leukemia (CML) ,Phase 3,01/08/2024,"Phase 3 trial met its primary endpoint, noted January 8, 2024.",
CYBN,0.39,CYB004 (IV) and SPL028 (IM),Generalized anxiety disorder (GAD) ,Phase 1,01/08/2024,"Intravenous (IV) CYB004 demonstrated robust and rapid-onset psychedelic effects at lower doses compared to native DMT, suggesting potential as a short-acting, scalable treatment. Intramuscular (IM) do",23.0
FATE,4.12,FT825/ONO-8250,Solid Tumors ,Phase 1,01/08/2024,"Phase 1 trial initiated, noted January 8, 2024.",115.0
BPMC,85.31,BLU-945 with osimertinib - (SYMPHONY),Treatment-resistant EGFR-driven NSCLC ,Phase 1/2,01/08/2024,"Phase 1/2 discontinued investment based on the evolving external landscape, emerging clinical data and partnering considerations, noted January 8, 2024.",64.0
BPMC,85.31,BLU-451 - (CONCERTO),EGFR exon 20 insertion-positive NSCLC ,Phase 1/2,01/08/2024,"Phase 1/2 discontinued investment based on the evolving external landscape, emerging clinical data and partnering considerations, noted January 8, 2024.",64.0
SMMT,2.97,Ivonescimab plus chemotherapy - (AK112-201),Non-small cell lung cancer (NSCLC) ,Phase 2,01/08/2024,"Phase 2 data reported that the 1-year overall survival rate was 85.6%, and the 2-year overall survival rate was 64.8% for patients in Cohort 1 with squamous histology NSCLC, noted January 8, 2024.",744.0
ORIC,8.24,ORIC-944,Metastatic castration resistant prostate cancer (mCRPC) ,Phase 1b,01/08/2024,"Phase 1b data demonstrated potential best-in-class profile, including half-life >10 hours, robust target engagement and well tolerated safety profile, supporting advancement for combination developmen",97.0
BMEA,15.94,Icovamenib (BMF-219) - (COVALENT-112),Type 1 diabetes (T1D) ,Phase 2,01/08/2024,"Phase 2 was initiated, noted January 8, 2024.",59.0
NUVB,1.55,NUV-1511,Advanced solid tumors ,IND-Enabling,01/08/2024,"IND cleared by FDA, noted January 8, 2024.",342.0
AFMD,6.61,AFM24-102 and TECENTRIQ (atezolizumab),"EGFR Expressing Solid Tumors, Non-small cell lung cancer, and Gastric/gastroesophageal junction (GEJ) cancer ",Phase 1/2,01/08/2024,"Phase 1/2a follow-up showed that three of the initially reported responses have now been confirmed (1 CR, 2 PR) and one still awaiting a confirmatory scan, noted January 8, 2024.",15.0
AVIR,3.1,Bemnifosbuvir (AT-527) - (SUNRISE-3),COVID-19 ,Phase 3,01/08/2024,"Phase 3 8-week study showed a 98% SVR4, which exceeds our efficacy criterion of >90% for continuing the study, noted January 8, 2024",79.0
ELTX,5.45,ELI-002 (AMPLIFY-201),Solid Tumors ,Phase 1/2,01/09/2024,"Phase 1/2 data presented in a paper on Nature Medicine showed that ELI-002 administered as a monotherapy induced robust, polyfunctional, and durable KRAS specific CD4+ and CD8+ T cell responses. Tumor",16.0
ALPMY,12.04,Zolbetuximab,HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors are CLDN18.2-positive ,CRL,01/09/2024,"CRL issued by the FDA on January 9, 2024.",
VCEL,37.31,NexoBrid (CIDS),Severe burns - pediatric ,BLA Filing,01/09/2024,"sBLA filing review and accepted by the FDA, noted January 9, 2024.",50.0
MDWD,12.49,NexoBrid (CIDS),Severe burns - pediatric ,BLA Filing,01/09/2024,"sBLA filing review and accepted by the FDA, noted January 9, 2024.",11.0
CRBP,7.22,CRB-601,Solid tumors ,IND-Enabling,01/09/2024,"IND cleared by the FDA, noted January 9, 2024",12.0
ALC,76.44,TRYPTYR (acoltremon ophthalmic solution) 0.003%,Dry eye disease (DED) ,Phase 3,01/09/2024,"Phase 3 pivotal efficacy and safety study met the primary endpoint , noted January 9, 2024.",494.0
ALC,76.44,AR-15512 (AVX-012) - (COMET-2),Dry eye disease ,Phase 3,01/09/2024,"Phase 3 pivotal efficacy and safety study met the primary endpoint , noted January 9, 2024.",494.0
MRSN,3.25,Emiltatug Ledadotin (XMT-1660) - (Emi-Le),Metastatic triple-negative breast cancer (TNBC) ,Phase 1,01/10/2024,"Phase 1 data reported that treatment was generally well tolerated, with no Grade 4 or 5 treatment-related adverse events (TRAEs) reported, noted January 10, 2025.",4.0
FDMT,19.14,4D-150 - (SPECTRA),Wet Age-Related Macular Degeneration (wet AMD) ,Phase 2,01/10/2024,"Phase 2 32-week interim data reported that 3E10 vg/eye achieved an 86% reduction in injection burden vs. projected on-label aflibercept 2mg Q8W and dose response with 61% reduction vs. 1E10 vg/eye, wi",46.0
CMND,2.93,CMND-100,Alcohol use disorder (AUD) ,IND-Enabling,01/10/2024,"IND submitted March 16, 2023. Phase 1/2a trial sites selected noted May 22, 2023. Type A meeting completed, noted January 10, 2024.",5.0
ACRS,1.01,ATI-1777-AD-202,Atopic dermatitis ,Phase 2b,01/10/2024,"Phase 2b topline data on ATI-1777 2% QD showed a trend toward significance, ATI-1777 2% BID achieved a statistically significant result in the primary efficacy endpoint at week 4, noted January 10, 2",108.0
VYNE,2.24,Repibresib Gel (VYN201),Vitiligo ,Phase 1b,01/10/2024,"Phase 1b biomarker data reported a median reduction in MMP-9 of 40.8% in lesional skin compared to baseline for subjects in the 2.0% cohort, noted January 10, 2024.",25.0
EYPT,20.23,EYP-1901 - (VERONA),Diabetic macular edema (DME) ,Phase 2,01/10/2024,"Phase 2 dosing initiated, noted January 10, 2024.",68.0
BPTH,11.2,BP1002,Refractory/relapsed lymphoma and chronic lymphocytic leukemia ,Phase 1,01/10/2024,"Phase 1 first cohort completed, noted January 10, 2024.",8.0
SANA,7.18,SC291 - (ARDENT),"Solid tumors, B-cell lymphomas and leukemias ",Phase 1,01/10/2024,Phase 1 early data discussed at the JPMorgan Healthcare Conference showed in a presentation that three patients saw at least a reduction in their disease while two patients had no detectable disease a,237.0
MRK,117.88,KEYTRUDA with external beam radiotherapy (EBRT) plus concurrent chemotherapy - (KEYNOTE-A18),Cervical cancer ,Approved,01/12/2024,"FDA Approved on January 12, 2024.",
ARQT,3.47,"ZORYVE (roflumilast) cream, 0.15%",Atopic dermatitis ,Phase 3,01/15/2024,"Additional Phase 3 data reported that at Week 4, a statistically significant greater percentage of patients achieved a 50% reduction in EASI scores (EASI-50), with 69.2% of patients treated with roflu",119.0
ANIP,55.41,Indomethacin Oral Suspension - (Indocin generic),"Rheumatoid arthritis, ankylosing spondylitis, osteoarthritis, acute gouty arthritis, bursitis, and tendinitis ",Approved,01/16/2024,"Approved January 16, 2024.",21.0
CLRB,3.7,CLR 121225 (225Ac-CLR 121225),PLE cancer ,Preclinical,01/16/2024,"Preclinical data reported tumor volume reduction in a dose dependent manner with the highest dose providing near complete eradication of the tumor, noted January 16, 2024.",3.0
ALLK,1.19,Lirentelimab (AK002) - (MAVERICK),Chronic Spontaneous Urticaria ,Phase 2b,01/16/2024,"Phase 2b trial did not meet its primary endpoint, noted January 16, 2024.",90.0
ALLK,1.19,Lirentelimab (AK002) - (ATLAS),Atopic Dermatitis ,Phase 2,01/16/2024,"Phase 2 trial did not meet its primary endpoint, noted January 16, 2024.",90.0
HALO,36.36,HYQVIA (Immune Globulin Infusion 10% with Recombinant Human Hyaluronidase),Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP) ,Approved,01/16/2024,"Approved January 16, 2024.",116.0
TAK,15.01,HYQVIA (Immune Globulin Infusion 10% with Recombinant Human Hyaluronidase),Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP) ,Approved,01/16/2024,"Approved January 16, 2024.",
CRSP,63.43,CASGEVY (exagamglogene autotemcel [exa-cel],Beta-thalassemia ,Approved,01/16/2024,"FDA Approved on January 16, 2024.",90.0
VRTX,437.49,CASGEVY (exagamglogene autotemcel [exa-cel],Beta-thalassemia ,Approved,01/16/2024,"FDA Approved on January 16, 2024.",256.0
SRPT,115.39,SRP-9003-301 - (EMERGENE),Limb-girdle muscular dystrophy type 2E (LGMD2E) ,Phase 3,01/16/2024,"Phase 3 screening initiated, noted January 16, 2024.",97.0
BGNE,173.25,DKN-01 with bevacizumab - (DeFianCe),Colorectal cancer ,Phase 2,01/16/2024,"Phase 2 part B data due at ASCO GI on January 20, 2024. Phase 2 part A data showed a 30% ORR and 93% DCR across heterogenous second-line CRC patients. Subgroup analysis reveals greatest benefit in lef",106.0
ONC,—,DKN-01 with bevacizumab - (DeFianCe),Colorectal cancer ,Phase 2,01/16/2024,"Phase 2 part B data due at ASCO GI on January 20, 2024. Phase 2 part A data showed a 30% ORR and 93% DCR across heterogenous second-line CRC patients. Subgroup analysis reveals greatest benefit in lef",110.0
LPTX,3.47,DKN-01 with bevacizumab - (DeFianCe),Colorectal cancer ,Phase 2,01/16/2024,"Phase 2 part B data due at ASCO GI on January 20, 2024. Phase 2 part A data showed a 30% ORR and 93% DCR across heterogenous second-line CRC patients. Subgroup analysis reveals greatest benefit in lef",41.0
RCUS,16.9,AB680 + Zimberelimab (AB122) - (ARC-8),Pancreatic Cancer ,Phase 1b,01/16/2024,"Phase 1 data showed a median overall survival was 15.7 months for all patients treated with 100 mg quemliclustat-based regimens in the ARC-8 study, which exceeds the historical benchmark data for chem",106.0
ADAG,3.78,muzastotug (ADG126) combined with KEYTRUDA (pembrolizumab) - (ADG126-P001/KEYNOTE-C98),Solid tumors ,Phase 1/2,01/16/2024,"Phase 1/2 data from first tranche of MSS CRC patients treated with ADG126 10 mg/kg every three weeks (Q3W) in dose expansion showed clinical benefit including confirmed responses at higher, more freq",47.0
ACXP,4.52,Ibezapolstat,C. difficile Infection ,Phase 2b,01/17/2024,"Phase 2b data showed that that ibezapolstat outperformed vancomycin, a standard of care to treat patients with CDI, with eradication of fecal C. difficile at Day 3 of treatment in 15 of 16 patients (9",1.0
EVGN,0.79,BMC128 with Opdivo,"Non-small cell lung cancer (NSCLC), melanoma or renal cell carcinoma ",Phase 1,01/17/2024,"Phase 1 first patient dosed July 26, 2022. Phase 1 trial enrollment completed, noted January 17, 2024",6.0
BMY,49.4,BMC128 with Opdivo,"Non-small cell lung cancer (NSCLC), melanoma or renal cell carcinoma ",Phase 1,01/17/2024,"Phase 1 first patient dosed July 26, 2022. Phase 1 trial enrollment completed, noted January 17, 2024",
KANT,—,KVA12123 with KEYTRUDA (pembrolizumab) - (VISTA-101),Solid tumors ,Phase 1/2,01/17/2024,"Phase 1/2 update reported that KVA12123 was well tolerated with no dose limiting toxicities (DLT) or cytokine related adverse events at any dose level, noted January 17, 2024.",13.0
REGN,929.13,Ateganosine (THIO-101),Non-small cell lung cancer (NSCLC) ,Phase 2,01/17/2024,"Phase 2 data reported a 100% preliminary disease control rate (DCR) in second-line and 88% in third-line, in highly difficult-to-treat patients who already progressed through previous lines of treatme",105.0
MAIA,1.48,Ateganosine (THIO-101),Non-small cell lung cancer (NSCLC) ,Phase 2,01/17/2024,"Phase 2 data reported a 100% preliminary disease control rate (DCR) in second-line and 88% in third-line, in highly difficult-to-treat patients who already progressed through previous lines of treatme",32.0
LSTA,2.94,LSTA1,Glioblastoma multiforme (GBM) ,Phase 2a,01/17/2024,"Phase 2a trial initiated, noted January 17, 2024.",8.0
CATX,0.44,212Pb-VMT01,MC1R-positive metastatic melanoma ,Phase 1/2,01/17/2024,"Phase 1/2 second dose escalation cohorts recruitment commenced, noted January 17, 2024.",74.0
CNSP,35.33,Berubicin,Glioblastoma (GBM) (adult) ,Phase 2,01/17/2024,"Enrollment completed, noted January 17, 2024.",
PFE,27.32,CRDF-004,Metastatic colorectal cancer (mCRC) ,Phase 1b,01/17/2024,"Phase 1b findings highlight the safety and promising efficacy of onvansertib in combination with standard-of-care, noted January 17, 2024.",
CRDF,1.47,CRDF-004,Metastatic colorectal cancer (mCRC) ,Phase 1b,01/17/2024,"Phase 1b findings highlight the safety and promising efficacy of onvansertib in combination with standard-of-care, noted January 17, 2024.",66.0
IXHL,4.47,IHL-42X - (RePOSA),Obstructive sleep apnea (OSA) ,Phase 2/3,01/17/2024,"Phase 2/3 IRB approved protocol to asses drug in patients, noted January 17, 2024.",347.0
PBLA,6.65,CPP-1X (eflornithine),Neuroblastoma ,Phase 1,01/18/2024,"Phase 1 data reported that 2 partial responses (PR), 4 minor responses (MR), 10 Stable disease (SD), 7 progressive disease (PD) and 1 unevaluable patient, noted January 18, 2024.",4.0
MTVA,—,DA-1241,Metabolic dysfunction-associated steatohepatitis (MASH) ,Preclinical,01/18/2024,"Pre-clinical results demonstrated that once daily oral administration in rats, of sitagliptin alone (180 mg/kg/day), DA-1241 alone (100 mg/kg/day), or sitagliptin in combination with DA-1241 (up to 18",24.0
CLDX,39.66,Barzolvolimab - (CindU),"Chronic inducible urticaria (CIndU), cold urticaria (ColdU) and symptomatic dermographism (SD), Chronic Spontaneous Urticaria (CSU) ",Phase 2,01/18/2024,"Phase 2 data reported that the trial met primary endpoint with clinically meaningful and statistically significant decreases in urticaria disease activity across multiple dose groups, noted January 18",66.0
CHRS,2.4,Casdozokitug (casdozo),Non-small cell lung cancer (NSCLC) ,Phase 2,01/18/2024,"Phase 2 data presented at ASCO GI demonstrated early activity with 38% objective response rate including three complete responses, noted January 18, 2024.",116.0
DCPH,13.89,QINLOCK (ripretinib) - (INTRIGUE),Gastrointestinal Stromal Tumors (GIST) - second-line ,Phase 3,01/18/2024,"Phase 3 long term data median overall survival of 35.5 months versus 31.5 months for sunitinib in the all-Patient intent-to treat-population, noted Janaury 18, 2024.",86.0
ZLAB,23.56,QINLOCK (ripretinib) - (INTRIGUE),Gastrointestinal Stromal Tumors (GIST) - second-line ,Phase 3,01/18/2024,"Phase 3 long term data median overall survival of 35.5 months versus 31.5 months for sunitinib in the all-Patient intent-to treat-population, noted Janaury 18, 2024.",109.0
NVS,104.33,LUTATHERA (lutetium Lu 177) - (NETTER-P),Gastroenteropancreatic neuroendocrine tumors (GEP-NETs) ,Phase 3,01/19/2024,Phase 3 data reported that treatment reduced the risk of disease progression or death by 72% as first-line therapy in patients with somatostatin receptor-positive (SSTR+) well-differentiated grade 2/3,
