Ticker,Price,Drug,Indication,Stage,Date,Catalyst,Shares_Millions,Market_Cap,Volatility,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Return_D1,XBI_Return_D5,Short_Interest_Pct,Year_Beta,Daily_Volum_Traded
ATHA,3.03,Fosgonimeton (ATH-1017) - (LIFT-AD),Alzheimerâ€™s diseaseÂ ,Phase 2/3,1/3/2024,"Phase 2/3 trial enrollment completed, noted January 3, 2024.",3,115.30538,69.7535,28.9,30.3,28.8,0.047306117,-0.003466208,0.008682156,-0.02517095,1.29185,0.13226,2.42009
APLM,0.96,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML)Â ,Phase 3,1/3/2024,"Phase 3 enrollment completed, noted January 3, 2024.",1,85.50182,138.9394,91.93,95.5,94.7399,0.03809883,0.030107824,0.008682156,-0.02517095,0.08805,0.08805,0.65609
GLYC,3.03,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML)Â ,Phase 3,1/3/2024,"Phase 3 enrollment completed, noted January 3, 2024.",13,195.1114,0,0,0,0,#DIV/0!,#DIV/0!,0.008682156,-0.02517095,0,0,0
CMMB,0.53,nebokitug (CM-101) - (SPRING),Primary Sclerosing CholangitisÂ ,Phase 2,1/3/2024,"Phase 2 early enrollment completed, noted January 3, 2023.",5,6.32064,82.6604,2.1512,2.1388,2.18,-0.005780902,0.013299051,0.008682156,-0.02517095,0.1516,0.11831,0.08527
SLRX,0.64,Seclidemstat,Myelodysplastic Syndromes (MDS) and Chronic Myelomonocytic Leukemia (CMML)Â ,Phase 1/2,1/3/2024,"Additional Phase 1/2 data reported that an additional Ewing sarcoma patient treated with seclidemstat, topotecan and cyclophosphamide (TC) has achieved a partial response as demonstrated by at least a",,2.51585,77.5817,76.81196,76.65596,79.07996,-0.002032999,0.029099135,0.008682156,-0.02517095,0.17692,0.00028,0.01679
INTS,7.99,INT230-6,Advanced Soft Tissue SarcomaÂ ,Phase 3,1/3/2024,"FDA provided ""Study May Proceed"" letter, noted January 3, 2024.",47,109.53792,139.0833,8.67,7.99,6,-0.081678031,-0.368109322,0.008682156,-0.02517095,0.6222,0.00328,0.44293
ENVB,1.32,EB-003 (EVM301 series),Mental health disordersÂ ,Preclinical,1/3/2024,"Preclinical development to commence in early 2024, with IND submission planned in 2024, noted January 3, 2024.",3,3.06413,88.0568,18.89999,19.79999,19.34999,0.04652004,0.02353051,0.008682156,-0.02517095,0.51747,0.0259,0.07766
IFRX,1.83,INF904,Chronic Autoimmune and Inflammatory DiseasesÂ ,Phase 1,1/4/2024,Phase 1 MAD results from 24 healthy volunteers showed that study was well tolerated in participants over the entire dose range and resulted in no safety signals of concern. The overall percentage of A,59,107.75639,81.2025,1.6,1.83,1.75,0.134312338,0.089612159,-0.012394525,-0.025411341,1.07199,0.00094,1.89428
GLYC,3,GMI-1687,Healthy volunteersÂ ,Phase 1a,1/4/2024,"Phase 1a Initial results demonstrated that subcutaneous dosing achieved target therapeutic plasma concentration and linear pharmacokinetics with rapid renal clearance across all dosing levels, noted",13,193.1796,0,0,0,0,#DIV/0!,#DIV/0!,-0.012394525,-0.025411341,0,0,0
ADCT,1.88,ADCT-601 (mipasetamab uzoptirine),"Soft tissue sarcomas, pancreatic cancer and AXL-expressing non-small cell lung cancer (NSCLC)Â ",Phase 1b,1/4/2024,"Preliminary Phase 1 data shows the maximum-tolerated dose has been reached, and the study is currently in dose optimization, noted Janaury 4, 2024.",112,151.86847,138.0034,1.66,1.88,2.07,0.124454174,0.220731005,-0.012394525,-0.025411341,5.01402,0.04643,2.46834
ADCT,1.88,ADCT-901,Solid tumorsÂ ,Phase 1,1/4/2024,"Program discontinued due to limited signs of efficacy in the dose escalation phase and to reallocate capital to prioritized programs, noted January 4, 2024.",112,151.86847,138.0034,1.66,1.88,2.07,0.124454174,0.220731005,-0.012394525,-0.025411341,5.01402,0.04643,2.46834
ALDX,3.34,ADX-629,SjÃ¶gren-Larsson Syndrome (SLS)Â ,Phase 1/2,1/4/2024,Phase 2 biomarker results observed in adult cohort proposed expansion to include pediatric patients expected to be submitted to the FDA in the 1H 2024.,59,196.46576,180.3384,3.35,3.34,3.2,-0.002989539,-0.045809536,-0.012394525,-0.025411341,6.04079,0.25004,1.83975
ALDX,3.34,ADX-246,Systemic Immune-Mediated Diseases and atopic dermatitisÂ ,Phase 1,1/4/2024,"Phase 1 expanded to include patients with atopic dermatitis, noted Janaury 4, 2024.",59,196.46576,180.3384,3.35,3.34,3.2,-0.002989539,-0.045809536,-0.012394525,-0.025411341,6.04079,0.25004,1.83975
KNSA,19.13,Abiprubart (KPL-404),Rheumatoid arthritisÂ ,Phase 2,1/4/2024,"Phase 2 trial met its primary endpoint, noted January 4, 2024.",74,1345.22102,58.665,19.98,19.125,19.28,-0.043735394,-0.035663484,-0.012394525,-0.025411341,4.65689,0.02271,26.4366
RYTM,43.31,Bivamelagon (LB54640),Healthy overweight adultsÂ ,Phase 1,1/4/2024,"Phase 1 has shown targeted effect on MC4 receptor without hyperpigmentation, noted January 4, 2024.",66,2559.46742,63.5507,43.88,43.31,41.51,-0.01307508,-0.055524273,-0.012394525,-0.025411341,14.61566,0.13496,58.38885
SNGX,0.91,SGX302/hypericin sodium,PsoriasisÂ ,Phase 2a,1/4/2024,"Phase 2a data reported that two patients reached a disease status of ""Almost Clear"" represented by an Investigator Global Assessment (IGA) score of 1, noted January 4, 2024.",4,9.41616,145.0268,14.68,14.5168,13.8608,-0.011179424,-0.057421311,-0.012394525,-0.025411341,0.38244,0.0002,2.15457
PRTG,1.35,IMM60 - (PORT-2),Refractory NSCLC & MelanomaÂ ,Phase 1,1/4/2024,"Phase 2 paused after a review of Portage's funding requirements, noted January 4, 2024.",2,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),#VALUE!,#VALUE!,-0.012394525,-0.025411341,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier)
MRK,116.27,IMM60 - (PORT-2),Refractory NSCLC & MelanomaÂ ,Phase 1,1/4/2024,"Phase 2 paused after a review of Portage's funding requirements, noted January 4, 2024.",,296506.0411,18.1863,114.77,117.01,118.43,0.019329276,0.031391943,-0.012394525,-0.025411341,0.53146,0.00786,1344.70361
IMMP,2.41,Eftilagimod alpha - INSIGHT-004,Solid tumorsÂ ,Phase 1,1/4/2024,"Phase 1 dosing initiated, noted January 4, 2024.",145,398.25958,47.012,2.31,2.41,2.56,0.042379223,0.102759734,-0.012394525,-0.025411341,0,0,0.38981
APLT,3.79,AT-001 - (ARISE-HF),Diabetic cardiomyopathy (DbCM)Â ,Phase 3,1/4/2024,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar",144,292.6987,115.7805,3.59,3.79,2.44,0.054213817,-0.386154163,-0.012394525,-0.025411341,2.77586,0.02185,15.36482
APLT,3.79,AT-001 - (ARISE-HF),Diabetic cardiomyopathy (DbCM)Â ,Phase 3,1/4/2024,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar",144,292.6987,115.7805,3.59,3.79,2.44,0.054213817,-0.386154163,-0.012394525,-0.025411341,2.77586,0.02185,15.36482
TBPH,10.37,YUPELRI (revefenacin) - (PIFR-2),Chronic obstructive pulmonary disease (COPD)Â ,Phase 3,1/5/2024,"Phase 4 data reported that the trial did not show a statistically significant difference between YUPELRI and Spiriva HandiHaler on the primary endpoint, noted January 5, 2024.",50,516.40387,33.7589,11.52,10.37,9.83,-0.105167633,-0.158645721,-0.043425645,-0.010785672,18.72446,0.07479,14.80076
CVAC,4.34,CV0601,COVID-19 vaccineÂ ,Phase 2,1/5/2024,"Phase 2 data reported a meaningful immune responses and favorable reactogenicity profiles across all tested doses, including the lowest tested dose, noted January 5, 2024.",224,971.82889,66.8964,4.22,4.34,3.88,0.02803922,-0.083999974,-0.043425645,-0.010785672,1.6726,0.08841,8.8193
GSK,38.51,XMT-2056,HER2-Expressing TumorsÂ ,Phase 1,1/5/2024,"Phase 1 clinical trial restarting; plan to advance dose escalation in 2024, noted January 5, 2024.",,62822.05247,17.5791,15.398,15.412,15.73,0.000908796,0.021332086,-0.043425645,-0.010785672,0,0.00274,97.31924
MRSN,2.27,XMT-2056,HER2-Expressing TumorsÂ ,Phase 1,1/5/2024,"Phase 1 clinical trial restarting; plan to advance dose escalation in 2024, noted January 5, 2024.",4,273.72137,200.1738,57.75,56.75,75.5,-0.017467693,0.268009307,-0.043425645,-0.010785672,7.01236,0.01324,2.06218
FBIO,2.42,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular RosaceaÂ ,NDA Filing,1/5/2024,"NDA submitted to the FDA, noted January 5, 2024.",29,44.47174,153.9349,2.5,2.42,1.92,-0.032523192,-0.263965546,-0.043425645,-0.010785672,4.93768,0.11582,1.86287
DERM,5.05,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular RosaceaÂ ,NDA Filing,1/5/2024,"NDA submitted to the FDA, noted January 5, 2024.",24,93.46767,107.6582,4.97,5.05,4.82,0.015968403,-0.030645912,-0.043425645,-0.010785672,0.94107,0.0194,1.55421
NOVN,0,ZELSUVMI (berdazimer topical gel),Molluscum ContagiosumÂ ,Approved,1/5/2024,"FDA Approved on January 5, 2023.",28,185834.1823,17.9254,89.84,90.41,91.43,0.00632457,0.017543342,-0.043425645,-0.010785672,0,0.03559,239.20642
LGND,70.83,ZELSUVMI (berdazimer topical gel),Molluscum ContagiosumÂ ,Approved,1/5/2024,"FDA Approved on January 5, 2023.",19,1234.98891,29.5135,70.36,70.83,72.6,0.00665772,0.031340002,-0.043425645,-0.010785672,5.12487,0.4139,9.88709
PTHS,â€”,ZELSUVMI (berdazimer topical gel),Molluscum ContagiosumÂ ,Approved,1/5/2024,"FDA Approved on January 5, 2023.",3,0,0,0,0,0,#DIV/0!,#DIV/0!,-0.043425645,-0.010785672,0,0,0
VINC,1.36,VIP236,Solid tumorsÂ ,Phase 1,1/8/2024,"Phase 1 update observed that 15 patients have been treated, showing a promising safety profile and preliminary evidence of clinical activity with once every 3-week dosing, noted January 8, 2024.",5,29.07756,95.4296,23.6,27.2,27.4,0.141970261,0.149296301,-0.047028896,-0.012463994,0.57629,0.02201,31.69311
VINC,1.36,VIP943 (anti-CD123),Hematologic malignanciesÂ ,Phase 1,1/8/2024,"Phase 1 enrollment in the second cohort of the VIP943 trial is nearly complete. Preliminary pharmacokinetic results from the first cohort trial showed very little free payload in circulation, consiste",5,29.07756,95.4296,23.6,27.2,27.4,0.141970261,0.149296301,-0.047028896,-0.012463994,0.57629,0.02201,31.69311
VINC,1.36,Enitociclib (VIP152) in combination with venetoclax and prednisone - (NIH trial),Peripheral T-cell lymphoma (PTCL) and 2 double-hit diffuse large b-cell lymphoma (DH-DLBCL)Â ,Phase 1,1/8/2024,"Phase 1 preliminary data from investigators from the National Institutes of Health (NIH) reported 2 partial responses (PR) in 3 PTCL patients and 1 PR in DH-DLBCL in ongoing dose-escalation trial, not",5,29.07756,95.4296,23.6,27.2,27.4,0.141970261,0.149296301,-0.047028896,-0.012463994,0.57629,0.02201,31.69311
ARGX,413.29,Empasiprubart (ARGX-117) - (ARDA),Multifocal motor neuropathy (MMN)Â ,Phase 2,1/8/2024,"Phase 2 topline data reported that treatment demonstrated a 91% reduction in the need for IVIg rescue compared to placebo, noted January 8, 2024.",60,21610.92518,66.0046,353,365.8,348,0.035618679,-0.014265577,-0.047028896,-0.012463994,0,0.00064,21.21896
ABSI,4.18,ABS-101,Inflammatory bowel disease (IBD)Â ,Preclinical,1/8/2024,"Preclinical data support profile for development of a potential best-in-class drug. IND submission expected in 1Q 2025; Phase 1 trials anticipated to initiate shortly after, noted January 8, 2024.",149,388.48283,99.6955,3.62,4.18,3.99,0.143837221,0.097317205,-0.047028896,-0.012463994,2.20066,0.22448,6.27638
VERU,0.56,Enobosarm with semaglutide (Wegovy) - (PLATEAU),ObesityÂ ,IND-Enabling,1/8/2024,"IND submitted to the FDA, noted January 8, 2024.",14,77.84445,90.1866,5.86,5.58,4.592,-0.048960827,-0.243833945,-0.047028896,-0.012463994,9.00548,0.00894,1.07315
BIOR,1.28,BT-600 + NaviCap Platform,Ulcerative Colitis (UC)Â ,Phase 1,1/8/2024,"Phase 1 dosing initiated, noted January 8, 2024.",4,13.205,0,0,0,0,#DIV/0!,#DIV/0!,-0.047028896,-0.012463994,0,0,0
ALT,11.39,Pemvidutide - (MOMENTUM),"Non-alcoholic steatohepatitis (NASH)/ (MASH) - Healthy, Overweight and Obese VolunteersÂ ",Phase 2,1/8/2024,"Phase 2 results presented at NASH-TAG Conference reported that treatment resulted in reductions of up to 76.4% in relative LFC, 15.2 IU/L in serum ALT, and 149.7ms in cT1 at 24 weeks January 6, 2024.",88,611.97184,100.7755,11.19,11.39,12,0.017715255,0.069886127,-0.047028896,-0.012463994,20.64737,0.03152,93.50513
CLRB,3.2,Iopofosine (CLR 131) - (CLOVER-WaM),Waldenstromâ€™s macroglobulinemiaÂ ,Phase 2b,1/8/2024,"Phase 2b trial met its primary endpoint, noted January 8, 2024.",3,39.3226,83.7134,81.30008,96.0001,105.30011,0.166202233,0.258667463,-0.047028896,-0.012463994,4.88196,0.06612,99.21629
ITOS,11.14,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM)Â ,Phase 1/2,1/8/2024,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",44,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),#VALUE!,#VALUE!,-0.047028896,-0.012463994,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier)
BMY,51.19,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM)Â ,Phase 1/2,1/8/2024,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",,105380.1035,21.5968,52.23,51.79,50.31,-0.008459962,-0.037453178,-0.047028896,-0.012463994,1.18445,0.11643,970.84887
GSK,38.94,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM)Â ,Phase 1/2,1/8/2024,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",,63139.99434,17.1917,15.412,15.49,15.8,0.005048228,0.024863513,-0.047028896,-0.012463994,0,0.00274,120.40073
CLNN,0.35,CNM-Au8 - (VISIONARY-MS),Multiple SclerosisÂ ,Phase 2,1/8/2024,"Phase 2 long term data demonstrated improvement of vision as measured by low contrast visual acuity (LCLA), noted Janaury 8, 2024.",9,45.45912,105.0572,5.8,7.08,9.596,0.19941599,0.503488427,-0.047028896,-0.012463994,0.34407,0.07394,1.23283
ABBV,158.39,lutikizumab (ABT-981),Hidradenitis suppurativa (HS)Â ,Phase 2,1/8/2024,"Phase 2 300 mg weekly or 300 mg dose every other week showed higher response rates in HiSCR 50 at week 16 than those treated with placebo, noted January 8, 2024.",,285010.7059,17.7657,162.14,161.43,162.4,-0.004388547,0.001602268,-0.047028896,-0.012463994,0.77534,0.01816,968.84345
OKYO,1.89,urcosimod (OK-101),Dry Eye Disease (DED)Â ,Phase 2,1/8/2024,Phase 2 data presented at the Biotech Showcase showed that dose was statistically significant drug effects were observed in FDA-recognized efficacy endpoints as early as the 15-day first visit after d,33,62.81614,116.6185,1.864,1.89,1.73,0.013852113,-0.074603308,-0.047028896,-0.012463994,0.14343,0.00061,2.14728
NVO,105.64,Icosema - (COMBINE 3),Type 2 diabetesÂ ,Phase 3,1/8/2024,"Phase 3a trial completed, noted January 8, 2024",,3209643.321,35.0538,105.98,106.4,107.16,0.00395518,0.011072648,-0.047028896,-0.012463994,0,0,306.50116
MNMD,4.39,MM-120 (LSD),Attention Deficit Hyperactivity Disorder (ADHD)Â ,Phase 2a,1/8/2024,"Phase 2a trial did not meet its primary endpoint, noted January 8, 2024.",75,176.01577,75.8599,4.09,4.39,3.96,0.070784257,-0.032300945,-0.047028896,-0.012463994,7.00672,0.24783,5.82284
NRIX,9.96,NX-2127,"B-cell malignancies, chronic lymphocytic leukemia (CLL)Â ",Phase 1b,1/8/2024,"The company expects to resolve partial hold to enable the introduction of newly manufactured drug product into the ongoing Phase 1 clinical trial., noted January 8, 2024.",76,483.09753,77.1659,9.87,9.96,9.37,0.009077218,-0.051986757,-0.047028896,-0.012463994,18.20078,0.22696,7.33795
INCY,65.82,INCB123667,"Late-stage cancers, ovarian cancerÂ ",Phase 1,1/8/2024,"Phase 1 early clinical activity was observed with several patients with amplified/overexpression of CCNE1, a cell cycle regulator and potential predictive biomarker, achieving partial response (PR), n",195,14750.87005,26.2469,65.26,65.82,62.74,0.008544452,-0.039380088,-0.047028896,-0.012463994,3.11092,0.25653,138.35943
INCY,65.82,Ruxolitinib Cream (Opzelura),Adults with hidradenitis suppurativa (HS)Â ,Phase 2,1/8/2024,"Phase 2 primary endpoint was met in its randomized, placebo-controlled study, noted on January 8, 2024.",195,14750.87005,26.2469,65.26,65.82,62.74,0.008544452,-0.039380088,-0.047028896,-0.012463994,3.11092,0.25653,138.35943
NVS,103.22,Scemblix - (ASC4FIRST),1L Chronic myeloid leukemia (CML)Â ,Phase 3,1/8/2024,"Phase 3 trial met its primary endpoint, noted January 8, 2024.",,1411.16675,48.0192,4.44,4.4,4.54,-0.009049836,0.022272636,-0.047028896,-0.012463994,0,0.02267,0.52289
CYBN,0.39,CYB004 (IV) and SPL028 (IM),Generalized anxiety disorder (GAD)Â ,Phase 1,1/8/2024,"Intravenous (IV) CYB004 demonstrated robust and rapid-onset psychedelic effects at lower doses compared to native DMT, suggesting potential as a short-acting, scalable treatment. Intramuscular (IM) do",23,161.0576,99.6434,15.38999,14.88079,15.38999,-0.033646179,0,-0.047028896,-0.012463994,2.46092,0.0154,1.83134
FATE,4.12,FT825/ONO-8250,Solid TumorsÂ ,Phase 1,1/8/2024,"Phase 1 trial initiated, noted January 8, 2024.",115,406.2401,85.4495,3.77,4.12,4.55,0.088778162,0.188052232,-0.047028896,-0.012463994,10.93577,0.39694,14.51773
BPMC,85.31,BLU-945 with osimertinib - (SYMPHONY),Treatment-resistant EGFR-driven NSCLCÂ ,Phase 1/2,1/8/2024,"Phase 1/2 discontinued investment based on the evolving external landscape, emerging clinical data and partnering considerations, noted January 8, 2024.",64,5185.97033,0,0,0,0,#DIV/0!,#DIV/0!,-0.047028896,-0.012463994,0,0,0
BPMC,85.31,BLU-451 - (CONCERTO),EGFR exon 20 insertion-positive NSCLCÂ ,Phase 1/2,1/8/2024,"Phase 1/2 discontinued investment based on the evolving external landscape, emerging clinical data and partnering considerations, noted January 8, 2024.",64,5185.97033,0,0,0,0,#DIV/0!,#DIV/0!,-0.047028896,-0.012463994,0,0,0
SMMT,2.97,Ivonescimab plus chemotherapy - (AK112-201),Non-small cell lung cancer (NSCLC)Â ,Phase 2,1/8/2024,"Phase 2 data reported that the 1-year overall survival rate was 85.6%, and the 2-year overall survival rate was 64.8% for patients in Cohort 1 with squamous histology NSCLC, noted January 8, 2024.",744,2081.50341,81.4745,2.55,2.97,3.1,0.152468594,0.195308752,-0.047028896,-0.012463994,1.34685,0.00269,6.82331
ORIC,8.24,ORIC-944,Metastatic castration resistant prostate cancer (mCRPC)Â ,Phase 1b,1/8/2024,"Phase 1b data demonstrated potential best-in-class profile, including half-life >10 hours, robust target engagement and well tolerated safety profile, supporting advancement for combination developmen",97,449.5074,65.973,8.42,8.24,8.6,-0.021609484,0.021152375,-0.047028896,-0.012463994,15.89094,0.13745,3.16223
BMEA,15.94,Icovamenib (BMF-219) - (COVALENT-112),Type 1 diabetes (T1D)Â ,Phase 2,1/8/2024,"Phase 2 was initiated, noted January 8, 2024.",59,569.15023,104.567,14.71,15.94,15.21,0.080304139,0.033425572,-0.047028896,-0.012463994,30.63348,0.02657,16.21399
NUVB,1.55,NUV-1511,Advanced solid tumorsÂ ,IND-Enabling,1/8/2024,"IND cleared by FDA, noted January 8, 2024.",342,339.36328,63.5128,1.49,1.55,1.58,0.039478811,0.058648727,-0.047028896,-0.012463994,1.00643,0.28384,0.87455
AFMD,6.61,AFM24-102 and TECENTRIQ (atezolizumab),"EGFR Expressing Solid Tumors, Non-small cell lung cancer, and Gastric/gastroesophageal junction (GEJ) cancerÂ ",Phase 1/2,1/8/2024,"Phase 1/2a follow-up showed that three of the initially reported responses have now been confirmed (1 CR, 2 PR) and one still awaiting a confirmatory scan, noted January 8, 2024.",15,98.74317,0,0,0,0,#DIV/0!,#DIV/0!,-0.047028896,-0.012463994,0,0,0
AVIR,3.1,Bemnifosbuvir (AT-527) - (SUNRISE-3),COVID-19Â ,Phase 3,1/8/2024,"Phase 3 8-week study showed a 98% SVR4, which exceeds our efficacy criterion of >90% for continuing the study, noted January 8, 2024",79,258.65009,38.8628,3.09,3.1,3.56,0.003231021,0.141589454,-0.047028896,-0.012463994,4.21518,0.03812,2.29262
ELTX,5.45,ELI-002 (AMPLIFY-201),Solid TumorsÂ ,Phase 1/2,1/9/2024,"Phase 1/2 data presented in a paper on Nature Medicine showed that ELI-002 administered as a monotherapy induced robust, polyfunctional, and durable KRAS specific CD4+ and CD8+ T cell responses. Tumor",16,52.3508,115.2223,7.82,5.45,5.28,-0.361068946,-0.392758457,0.009572539,0.047795155,0.07055,0.02185,16.85986
ALPMY,12.04,Zolbetuximab,HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors are CLDN18.2-positiveÂ ,CRL,1/9/2024,"CRL issued by the FDA on January 9, 2024.",,3116898.468,0,0,0,0,#DIV/0!,#DIV/0!,0.009572539,0.047795155,0,0,0
VCEL,37.31,NexoBrid (CIDS),Severe burns - pediatricÂ ,BLA Filing,1/9/2024,"sBLA filing review and accepted by the FDA, noted January 9, 2024.",50,1780.6027,48.4414,34.79,37.31,39.2,0.069931398,0.119346758,0.009572539,0.047795155,12.32144,0.16761,41.97603
MDWD,12.49,NexoBrid (CIDS),Severe burns - pediatricÂ ,BLA Filing,1/9/2024,"sBLA filing review and accepted by the FDA, noted January 9, 2024.",11,115.14857,54.0844,11.82,12.49,12.87,0.055135312,0.08510601,0.009572539,0.047795155,0.36552,0.09114,1.29993
