Ticker,Company,Price,Drug,Indication,Stage,Date,Catalyst,Shares
DYN,Dyne Therapeutics Inc.,14.77,DYNE-251 - (DELIVER),Duchenne muscular dystrophy (DMD) ,Phase 1/2,03/01/2024 ET,"Phase 1/2 initial data reported a mean absolute dystrophin level of 0.88% of normal and a 0.28% change from baseline at 6 months, noted January 3, 2024.",142.26M
Add to portfolio,,,FTD,,,,,
,,,ODD,,,,,
,,,BTD,,,,,
ATHA,Athira Pharma Inc.,3.03,Fosgonimeton (ATH-1017) - (LIFT-AD),Alzheimer’s disease ,Phase 2/3,03/01/2024 ET,"Phase 2/3 trial enrollment completed, noted January 3, 2024.",3.94M
Add to portfolio,,,View Clinical Trial Data,,,,,
APLM,Apollomics Inc.,0.96,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML) ,Phase 3,03/01/2024 ET,"Phase 3 enrollment completed, noted January 3, 2024.",1.1M
Add to portfolio,,,View Clinical Trial Data,,,,,
GLYC,GlycoMimetics Inc.,3.03,Uproleselan,Relapsed/Refractory (R/R) Acute Myeloid Leukemia (AML) ,Phase 3,03/01/2024 ET,"Phase 3 enrollment completed, noted January 3, 2024.",13.89M
Add to portfolio,,,View Clinical Trial Data,,,,,
CMMB,Chemomab Therapeutics Ltd.,0.53,nebokitug (CM-101) - (SPRING),Primary Sclerosing Cholangitis ,Phase 2,03/01/2024 ET,"Phase 2 early enrollment completed, noted January 3, 2023.",5.19M
Add to portfolio,,,FTD,,,,,
SLRX,Salarius Pharmaceuticals Inc.,0.64,Seclidemstat,Myelodysplastic Syndromes (MDS) and Chronic Myelomonocytic Leukemia (CMML) ,Phase 1/2,03/01/2024 ET,"Additional Phase 1/2 data reported that an additional Ewing sarcoma patient treated with seclidemstat, topotecan and cyclophosphamide (TC) has achieved a partial response as demonstrated by at least a … read more",509.71K
Add to portfolio,,,,,,,,
INTS,Intensity Therapeutics Inc.,7.99,INT230-6,Advanced Soft Tissue Sarcoma ,Phase 3,03/01/2024 ET,"FDA provided ""Study May Proceed"" letter, noted January 3, 2024.",47.06M
Add to portfolio,,,ODD,,,,,
ENVB,Enveric Biosciences Inc.,1.32,EB-003 (EVM301 series),Mental health disorders ,Preclinical,03/01/2024 ET,"Preclinical development to commence in early 2024, with IND submission planned in 2024, noted January 3, 2024.",3.25M
Add to portfolio,,,,,,,,
IFRX,InflaRx N.V.,1.83,INF904,Chronic Autoimmune and Inflammatory Diseases ,Phase 1,04/01/2024 ET,Phase 1 MAD results from 24 healthy volunteers showed that study was well tolerated in participants over the entire dose range and resulted in no safety signals of concern. The overall percentage of A … read more,59.35M
Add to portfolio,,,,,,,,
GLYC,GlycoMimetics Inc.,3,GMI-1687,Healthy volunteers ,Phase 1a,04/01/2024 ET,"Phase 1a Initial results demonstrated that subcutaneous dosing achieved target therapeutic plasma concentration and linear pharmacokinetics with rapid renal clearance across all dosing levels, noted … read more",13.89M
Add to portfolio,,,,,,,,
ADCT,ADC Therapeutics SA,1.88,ADCT-601 (mipasetamab uzoptirine),"Soft tissue sarcomas, pancreatic cancer and AXL-expressing non-small cell lung cancer (NSCLC) ",Phase 1b,04/01/2024 ET,"Preliminary Phase 1 data shows the maximum-tolerated dose has been reached, and the study is currently in dose optimization, noted Janaury 4, 2024.",112.5M
Add to portfolio,,,,,,,,
ADCT,ADC Therapeutics SA,1.88,ADCT-901,Solid tumors ,Phase 1,04/01/2024 ET,"Program discontinued due to limited signs of efficacy in the dose escalation phase and to reallocate capital to prioritized programs, noted January 4, 2024.",112.5M
Add to portfolio,,,,,,,,
ALDX,Aldeyra Therapeutics Inc.,3.34,ADX-629,Sjögren-Larsson Syndrome (SLS) ,Phase 1/2,04/01/2024 ET,Phase 2 biomarker results observed in adult cohort proposed expansion to include pediatric patients expected to be submitted to the FDA in the 1H 2024.,59.9M
Add to portfolio,,,,,,,,
ALDX,Aldeyra Therapeutics Inc.,3.34,ADX-246,Systemic Immune-Mediated Diseases and atopic dermatitis ,Phase 1,04/01/2024 ET,"Phase 1 expanded to include patients with atopic dermatitis, noted Janaury 4, 2024.",59.9M
Add to portfolio,,,,,,,,
KNSA,Kiniksa Pharmaceuticals Ltd.,19.13,Abiprubart (KPL-404),Rheumatoid arthritis ,Phase 2,04/01/2024 ET,"Phase 2 trial met its primary endpoint, noted January 4, 2024.",74.11M
Add to portfolio,,,,,,,,
RYTM,Rhythm Pharmaceuticals Inc.,43.31,Bivamelagon (LB54640),Healthy overweight adults ,Phase 1,04/01/2024 ET,"Phase 1 has shown targeted effect on MC4 receptor without hyperpigmentation, noted January 4, 2024.",66.42M
Add to portfolio,,,ODD,,,,,
SNGX,Soligenix Inc.,0.91,SGX302/hypericin sodium,Psoriasis ,Phase 2a,04/01/2024 ET,"Phase 2a data reported that two patients reached a disease status of ""Almost Clear"" represented by an Investigator Global Assessment (IGA) score of 1, noted January 4, 2024.",4.29M
Add to portfolio,,,,,,,,
PRTG,Portage Biotech Inc.,1.35,IMM60 - (PORT-2),Refractory NSCLC & Melanoma ,Phase 1,04/01/2024 ET,"Phase 2 paused after a review of Portage's funding requirements, noted January 4, 2024.",2.28M
Add to portfolio,,,,,,,,
MRK,Merck & Company Inc.,116.27,IMM60 - (PORT-2),Refractory NSCLC & Melanoma ,Phase 1,04/01/2024 ET,"Phase 2 paused after a review of Portage's funding requirements, noted January 4, 2024.",2.5B
Add to portfolio,,,,,,,,
IMMP,Immutep Limited,2.41,Eftilagimod alpha - INSIGHT-004,Solid tumors ,Phase 1,04/01/2024 ET,"Phase 1 dosing initiated, noted January 4, 2024.",145.46M
Add to portfolio,,,,,,,,
APLT,Applied Therapeutics Inc.,3.79,AT-001 - (ARISE-HF),Diabetic cardiomyopathy (DbCM) ,Phase 3,04/01/2024 ET,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar … read more",144.01M
Add to portfolio,,,View Clinical Trial Data,,,,,
APLT,Applied Therapeutics Inc.,3.79,AT-001 - (ARISE-HF),Diabetic cardiomyopathy (DbCM) ,Phase 3,04/01/2024 ET,"Phase 3 topline data demonstrated that while a trend favored active treatment, the difference between active and placebo treated groups (0.30 ml/kg/min) was not statistically significant, noted Januar … read more",144.01M
Add to portfolio,,,View Clinical Trial Data,,,,,
TBPH,Theravance Biopharma Inc.,10.37,YUPELRI (revefenacin) - (PIFR-2),Chronic obstructive pulmonary disease (COPD) ,Phase 3,05/01/2024 ET,"Phase 4 data reported that the trial did not show a statistically significant difference between YUPELRI and Spiriva HandiHaler on the primary endpoint, noted January 5, 2024.",50.36M
Add to portfolio,,,,,,,,
CVAC,CureVac N.V.,4.34,CV0601,COVID-19 vaccine ,Phase 2,05/01/2024 ET,"Phase 2 data reported a meaningful immune responses and favorable reactogenicity profiles across all tested doses, including the lowest tested dose, noted January 5, 2024.",224.34M
Add to portfolio,,,,,,,,
GSK,GSK plc American Depositary Shares (Each representing two),38.51,XMT-2056,HER2-Expressing Tumors ,Phase 1,05/01/2024 ET,"Phase 1 clinical trial restarting; plan to advance dose escalation in 2024, noted January 5, 2024.",2.03B
Add to portfolio,,,ODD,,,,,
MRSN,Mersana Therapeutics Inc.,2.27,XMT-2056,HER2-Expressing Tumors ,Phase 1,05/01/2024 ET,"Phase 1 clinical trial restarting; plan to advance dose escalation in 2024, noted January 5, 2024.",4.99M
Add to portfolio,,,ODD,,,,,
FBIO,Fortress Biotech Inc.,2.42,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular Rosacea ,NDA Filing,05/01/2024 ET,"NDA submitted to the FDA, noted January 5, 2024.",29.75M
Add to portfolio,,,,,,,,
DERM,Journey Medical Corporation,5.05,"Emrosi (Minocycline Hydrochloride ER Capsules, 40 mg) (DFD-29) - (MVOR-2)",Papulopustular Rosacea ,NDA Filing,05/01/2024 ET,"NDA submitted to the FDA, noted January 5, 2024.",24.38M
Add to portfolio,,,,,,,,
NOVN,Novan Inc.,0,ZELSUVMI (berdazimer topical gel),Molluscum Contagiosum ,Approved,05/01/2024 ET,"FDA Approved on January 5, 2023.",28.02M
Add to portfolio,,,,,,,,
LGND,Ligand Pharmaceuticals Incorporated,70.83,ZELSUVMI (berdazimer topical gel),Molluscum Contagiosum ,Approved,05/01/2024 ET,"FDA Approved on January 5, 2023.",19.6M
Add to portfolio,,,,,,,,
PTHS,Pelthos Therapeutics Inc.,—,ZELSUVMI (berdazimer topical gel),Molluscum Contagiosum ,Approved,05/01/2024 ET,"FDA Approved on January 5, 2023.",3.04M
Add to portfolio,,,,,,,,
VINC,Vincerx Pharma Inc.,1.36,VIP236,Solid tumors ,Phase 1,08/01/2024 ET,"Phase 1 update observed that 15 patients have been treated, showing a promising safety profile and preliminary evidence of clinical activity with once every 3-week dosing, noted January 8, 2024.",5.23M
Add to portfolio,,,,,,,,
VINC,Vincerx Pharma Inc.,1.36,VIP943 (anti-CD123),Hematologic malignancies ,Phase 1,08/01/2024 ET,"Phase 1 enrollment in the second cohort of the VIP943 trial is nearly complete. Preliminary pharmacokinetic results from the first cohort trial showed very little free payload in circulation, consiste … read more",5.23M
Add to portfolio,,,,,,,,
VINC,Vincerx Pharma Inc.,1.36,Enitociclib (VIP152) in combination with venetoclax and prednisone - (NIH trial),Peripheral T-cell lymphoma (PTCL) and 2 double-hit diffuse large b-cell lymphoma (DH-DLBCL) ,Phase 1,08/01/2024 ET,"Phase 1 preliminary data from investigators from the National Institutes of Health (NIH) reported 2 partial responses (PR) in 3 PTCL patients and 1 PR in DH-DLBCL in ongoing dose-escalation trial, not … read more",5.23M
Add to portfolio,,,,,,,,
ARGX,argenx SE,413.29,Empasiprubart (ARGX-117) - (ARDA),Multifocal motor neuropathy (MMN) ,Phase 2,08/01/2024 ET,"Phase 2 topline data reported that treatment demonstrated a 91% reduction in the need for IVIg rescue compared to placebo, noted January 8, 2024.",60.99M
Add to portfolio,,,,,,,,
ABSI,Absci Corporation,4.18,ABS-101,Inflammatory bowel disease (IBD) ,Preclinical,08/01/2024 ET,"Preclinical data support profile for development of a potential best-in-class drug. IND submission expected in 1Q 2025; Phase 1 trials anticipated to initiate shortly after, noted January 8, 2024.",149.52M
Add to portfolio,,,,,,,,
VERU,Veru Inc.,0.56,Enobosarm with semaglutide (Wegovy) - (PLATEAU),Obesity ,IND-Enabling,08/01/2024 ET,"IND submitted to the FDA, noted January 8, 2024.",14.65M
Add to portfolio,,,,,,,,
BIOR,Biora Therapeutics Inc.,1.28,BT-600 + NaviCap Platform,Ulcerative Colitis (UC) ,Phase 1,08/01/2024 ET,"Phase 1 dosing initiated, noted January 8, 2024.",4.52M
Add to portfolio,,,,,,,,
ALT,Altimmune Inc.,11.39,Pemvidutide - (MOMENTUM),"Non-alcoholic steatohepatitis (NASH)/ (MASH) - Healthy, Overweight and Obese Volunteers ",Phase 2,08/01/2024 ET,"Phase 2 results presented at NASH-TAG Conference reported that treatment resulted in reductions of up to 76.4% in relative LFC, 15.2 IU/L in serum ALT, and 149.7ms in cT1 at 24 weeks January 6, 2024.",88.26M
Add to portfolio,,,FTD,,,,,
,,,View Clinical Trial Data,,,,,
CLRB,Cellectar Biosciences Inc.,3.2,Iopofosine (CLR 131) - (CLOVER-WaM),Waldenstrom’s macroglobulinemia ,Phase 2b,08/01/2024 ET,"Phase 2b trial met its primary endpoint, noted January 8, 2024.",3.19M
Add to portfolio,,,BTD,,,,,
,,,View Clinical Trial Data,,,,,
ITOS,iTeos Therapeutics Inc.,11.14,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM) ,Phase 1/2,08/01/2024 ET,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",44.21M
Add to portfolio,,,,,,,,
BMY,Bristol-Myers Squibb Company,51.19,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM) ,Phase 1/2,08/01/2024 ET,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",2.04B
Add to portfolio,,,,,,,,
GSK,GSK plc American Depositary Shares (Each representing two),38.94,Belrestotug (EOS-448/GSK4428859A) - (TIG-007) + iberdomide,Relapsed/refractory multiple myeloma (r/r MM) ,Phase 1/2,08/01/2024 ET,"Phase 1/2 was deprioritized after trial assessment, noted January 8, 2024.",2.03B
Add to portfolio,,,,,,,,
CLNN,Clene Inc.,0.35,CNM-Au8 - (VISIONARY-MS),Multiple Sclerosis ,Phase 2,08/01/2024 ET,"Phase 2 long term data demonstrated improvement of vision as measured by low contrast visual acuity (LCLA), noted Janaury 8, 2024.",9.99M
Add to portfolio,,,View Clinical Trial Data,,,,,
ABBV,AbbVie Inc.,158.39,lutikizumab (ABT-981),Hidradenitis suppurativa (HS) ,Phase 2,08/01/2024 ET,"Phase 2 300 mg weekly or 300 mg dose every other week showed higher response rates in HiSCR 50 at week 16 than those treated with placebo, noted January 8, 2024.",1.77B
Add to portfolio,,,,,,,,
OKYO,OKYO Pharma Limited,1.89,urcosimod (OK-101),Dry Eye Disease (DED) ,Phase 2,08/01/2024 ET,Phase 2 data presented at the Biotech Showcase showed that dose was statistically significant drug effects were observed in FDA-recognized efficacy endpoints as early as the 15-day first visit after d … read more,33.84M
Add to portfolio,,,,,,,,
NVO,Novo Nordisk A/S,105.64,Icosema - (COMBINE 3),Type 2 diabetes ,Phase 3,08/01/2024 ET,"Phase 3a trial completed, noted January 8, 2024",4.47B
Add to portfolio,,,,,,,,
MNMD,Mind Medicine (MindMed) Inc.,4.39,MM-120 (LSD),Attention Deficit Hyperactivity Disorder (ADHD) ,Phase 2a,08/01/2024 ET,"Phase 2a trial did not meet its primary endpoint, noted January 8, 2024.",75.55M
Add to portfolio,,,,,,,,
NRIX,Nurix Therapeutics Inc.,9.96,NX-2127,"B-cell malignancies, chronic lymphocytic leukemia (CLL) ",Phase 1b,08/01/2024 ET,"The company expects to resolve partial hold to enable the introduction of newly manufactured drug product into the ongoing Phase 1 clinical trial., noted January 8, 2024.",76.88M
Add to portfolio,,,,,,,,
INCY,Incyte Corporation,65.82,INCB123667,"Late-stage cancers, ovarian cancer ",Phase 1,08/01/2024 ET,"Phase 1 early clinical activity was observed with several patients with amplified/overexpression of CCNE1, a cell cycle regulator and potential predictive biomarker, achieving partial response (PR), n … read more",195.28M
Add to portfolio,,,,,,,,
INCY,Incyte Corporation,65.82,Ruxolitinib Cream (Opzelura),Adults with hidradenitis suppurativa (HS) ,Phase 2,08/01/2024 ET,"Phase 2 primary endpoint was met in its randomized, placebo-controlled study, noted on January 8, 2024.",195.28M
Add to portfolio,,,,,,,,
NVS,Novartis AG,103.22,Scemblix - (ASC4FIRST),1L Chronic myeloid leukemia (CML) ,Phase 3,08/01/2024 ET,"Phase 3 trial met its primary endpoint, noted January 8, 2024.",1.98B
Add to portfolio,,,BTD,,,,,
CYBN,Cybin Inc.,0.39,CYB004 (IV) and SPL028 (IM),Generalized anxiety disorder (GAD) ,Phase 1,08/01/2024 ET,"Intravenous (IV) CYB004 demonstrated robust and rapid-onset psychedelic effects at lower doses compared to native DMT, suggesting potential as a short-acting, scalable treatment. Intramuscular (IM) do … read more",23.59M
Add to portfolio,,,,,,,,
FATE,Fate Therapeutics Inc.,4.12,FT825/ONO-8250,Solid Tumors ,Phase 1,08/01/2024 ET,"Phase 1 trial initiated, noted January 8, 2024.",115.33M
Add to portfolio,,,,,,,,
BPMC,Blueprint Medicines Corporation,85.31,BLU-945 with osimertinib - (SYMPHONY),Treatment-resistant EGFR-driven NSCLC ,Phase 1/2,08/01/2024 ET,"Phase 1/2 discontinued investment based on the evolving external landscape, emerging clinical data and partnering considerations, noted January 8, 2024.",64.58M
Add to portfolio,,,,,,,,
BPMC,Blueprint Medicines Corporation,85.31,BLU-451 - (CONCERTO),EGFR exon 20 insertion-positive NSCLC ,Phase 1/2,08/01/2024 ET,"Phase 1/2 discontinued investment based on the evolving external landscape, emerging clinical data and partnering considerations, noted January 8, 2024.",64.58M
Add to portfolio,,,,,,,,
SMMT,Summit Therapeutics Inc.,2.97,Ivonescimab plus chemotherapy - (AK112-201),Non-small cell lung cancer (NSCLC) ,Phase 2,08/01/2024 ET,"Phase 2 data reported that the 1-year overall survival rate was 85.6%, and the 2-year overall survival rate was 64.8% for patients in Cohort 1 with squamous histology NSCLC, noted January 8, 2024.",744.44M
Add to portfolio,,,,,,,,
ORIC,Oric Pharmaceuticals Inc.,8.24,ORIC-944,Metastatic castration resistant prostate cancer (mCRPC) ,Phase 1b,08/01/2024 ET,"Phase 1b data demonstrated potential best-in-class profile, including half-life >10 hours, robust target engagement and well tolerated safety profile, supporting advancement for combination developmen … read more",97.12M
Add to portfolio,,,,,,,,
BMEA,Biomea Fusion Inc.,15.94,Icovamenib (BMF-219) - (COVALENT-112),Type 1 diabetes (T1D) ,Phase 2,08/01/2024 ET,"Phase 2 was initiated, noted January 8, 2024.",59.51M
Add to portfolio,,,,,,,,
NUVB,Nuvation Bio Inc. Class A,1.55,NUV-1511,Advanced solid tumors ,IND-Enabling,08/01/2024 ET,"IND cleared by FDA, noted January 8, 2024.",342.27M
Add to portfolio,,,,,,,,
AFMD,Affimed N.V.,6.61,AFM24-102 and TECENTRIQ (atezolizumab),"EGFR Expressing Solid Tumors, Non-small cell lung cancer, and Gastric/gastroesophageal junction (GEJ) cancer ",Phase 1/2,08/01/2024 ET,"Phase 1/2a follow-up showed that three of the initially reported responses have now been confirmed (1 CR, 2 PR) and one still awaiting a confirmatory scan, noted January 8, 2024.",15.23M
Add to portfolio,,,FTD,,,,,
AVIR,Atea Pharmaceuticals Inc.,3.1,Bemnifosbuvir (AT-527) - (SUNRISE-3),COVID-19 ,Phase 3,08/01/2024 ET,"Phase 3 8-week study showed a 98% SVR4, which exceeds our efficacy criterion of >90% for continuing the study, noted January 8, 2024",79.36M
Add to portfolio,,,FTD,,,,,
,,,View Clinical Trial Data,,,,,
ELTX,Elicio Therapeutics Inc.,5.45,ELI-002 (AMPLIFY-201),Solid Tumors ,Phase 1/2,09/01/2024 ET,"Phase 1/2 data presented in a paper on Nature Medicine showed that ELI-002 administered as a monotherapy induced robust, polyfunctional, and durable KRAS specific CD4+ and CD8+ T cell responses. Tumor … read more",16.34M
Add to portfolio,,,,,,,,
ALPMY,Astellas Pharma Inc. ADR,12.04,Zolbetuximab,HER2-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors are CLDN18.2-positive ,CRL,09/01/2024 ET,"CRL issued by the FDA on January 9, 2024.",1.79B
Add to portfolio,,,,,,,,
VCEL,Vericel Corporation,37.31,NexoBrid (CIDS),Severe burns - pediatric ,BLA Filing,09/01/2024 ET,"sBLA filing review and accepted by the FDA, noted January 9, 2024.",50.46M
Add to portfolio,,,,,,,,
MDWD,MediWound Ltd.,12.49,NexoBrid (CIDS),Severe burns - pediatric ,BLA Filing,09/01/2024 ET,"sBLA filing review and accepted by the FDA, noted January 9, 2024.",11.25M
Add to portfolio,,,,,,,,
CRBP,Corbus Pharmaceuticals Holdings Inc.,7.22,CRB-601,Solid tumors ,IND-Enabling,09/01/2024 ET,"IND cleared by the FDA, noted January 9, 2024",12.26M
Add to portfolio,,,,,,,,
ALC,Alcon Inc.,76.44,TRYPTYR (acoltremon ophthalmic solution) 0.003%,Dry eye disease (DED) ,Phase 3,09/01/2024 ET,"Phase 3 pivotal efficacy and safety study met the primary endpoint , noted January 9, 2024.",494.62M
Add to portfolio,,,,,,,,
ALC,Alcon Inc.,76.44,AR-15512 (AVX-012) - (COMET-2),Dry eye disease ,Phase 3,09/01/2024 ET,"Phase 3 pivotal efficacy and safety study met the primary endpoint , noted January 9, 2024.",494.62M
Add to portfolio,,,View Clinical Trial Data,,,,,
MRSN,Mersana Therapeutics Inc.,3.25,Emiltatug Ledadotin (XMT-1660) - (Emi-Le),Metastatic triple-negative breast cancer (TNBC) ,Phase 1,10/01/2024 ET,"Phase 1 data reported that treatment was generally well tolerated, with no Grade 4 or 5 treatment-related adverse events (TRAEs) reported, noted January 10, 2025.",4.99M
Add to portfolio,,,FTD,,,,,
FDMT,4D Molecular Therapeutics Inc.,19.14,4D-150 - (SPECTRA),Wet Age-Related Macular Degeneration (wet AMD) ,Phase 2,10/01/2024 ET,"Phase 2 32-week interim data reported that 3E10 vg/eye achieved an 86% reduction in injection burden vs. projected on-label aflibercept 2mg Q8W and dose response with 61% reduction vs. 1E10 vg/eye, wi … read more",46.7M
Add to portfolio,,,RMAT,,,,,
CMND,Clearmind Medicine Inc.,2.93,CMND-100,Alcohol use disorder (AUD) ,IND-Enabling,10/01/2024 ET,"IND submitted March 16, 2023. Phase 1/2a trial sites selected noted May 22, 2023. Type A meeting completed, noted January 10, 2024.",5.38M
Add to portfolio,,,,,,,,
ACRS,Aclaris Therapeutics Inc.,1.01,ATI-1777-AD-202,Atopic dermatitis ,Phase 2b,10/01/2024 ET,"Phase 2b topline data on ATI-1777 2% QD showed a trend toward significance, ATI-1777 2% BID achieved a statistically significant result in the primary efficacy endpoint at week 4, noted January 10, 2 … read more",108.33M
Add to portfolio,,,View Clinical Trial Data,,,,,
VYNE,VYNE Therapeutics Inc.,2.24,Repibresib Gel (VYN201),Vitiligo ,Phase 1b,10/01/2024 ET,"Phase 1b biomarker data reported a median reduction in MMP-9 of 40.8% in lesional skin compared to baseline for subjects in the 2.0% cohort, noted January 10, 2024.",25.47M
Add to portfolio,,,,,,,,
EYPT,EyePoint Pharmaceuticals Inc.,20.23,EYP-1901 - (VERONA),Diabetic macular edema (DME) ,Phase 2,10/01/2024 ET,"Phase 2 dosing initiated, noted January 10, 2024.",68.93M
Add to portfolio,,,,,,,,
BPTH,Bio-Path Holdings Inc.,11.2,BP1002,Refractory/relapsed lymphoma and chronic lymphocytic leukemia ,Phase 1,10/01/2024 ET,"Phase 1 first cohort completed, noted January 10, 2024.",8.31M
Add to portfolio,,,,,,,,
SANA,Sana Biotechnology Inc.,7.18,SC291 - (ARDENT),"Solid tumors, B-cell lymphomas and leukemias ",Phase 1,10/01/2024 ET,Phase 1 early data discussed at the JPMorgan Healthcare Conference showed in a presentation that three patients saw at least a reduction in their disease while two patients had no detectable disease a … read more,237.81M
Add to portfolio,,,,,,,,
MRK,Merck & Company Inc.,117.88,KEYTRUDA with external beam radiotherapy (EBRT) plus concurrent chemotherapy - (KEYNOTE-A18),Cervical cancer ,Approved,12/01/2024 ET,"FDA Approved on January 12, 2024.",2.5B
Add to portfolio,,,,,,,,
ARQT,Arcutis Biotherapeutics Inc.,3.47,"ZORYVE (roflumilast) cream, 0.15%",Atopic dermatitis ,Phase 3,15/01/2024 ET,"Additional Phase 3 data reported that at Week 4, a statistically significant greater percentage of patients achieved a 50% reduction in EASI scores (EASI-50), with 69.2% of patients treated with roflu … read more",119.91M
Add to portfolio,,,,,,,,
ANIP,ANI Pharmaceuticals Inc.,55.41,Indomethacin Oral Suspension - (Indocin generic),"Rheumatoid arthritis, ankylosing spondylitis, osteoarthritis, acute gouty arthritis, bursitis, and tendinitis ",Approved,16/01/2024 ET,"Approved January 16, 2024.",21.7M
Add to portfolio,,,,,,,,
CLRB,Cellectar Biosciences Inc.,3.7,CLR 121225 (225Ac-CLR 121225),PLE cancer ,Preclinical,16/01/2024 ET,"Preclinical data reported tumor volume reduction in a dose dependent manner with the highest dose providing near complete eradication of the tumor, noted January 16, 2024.",3.19M
Add to portfolio,,,,,,,,
ALLK,Allakos Inc.,1.19,Lirentelimab (AK002) - (MAVERICK),Chronic Spontaneous Urticaria ,Phase 2b,16/01/2024 ET,"Phase 2b trial did not meet its primary endpoint, noted January 16, 2024.",90.38M
Add to portfolio,,,,,,,,
ALLK,Allakos Inc.,1.19,Lirentelimab (AK002) - (ATLAS),Atopic Dermatitis ,Phase 2,16/01/2024 ET,"Phase 2 trial did not meet its primary endpoint, noted January 16, 2024.",90.38M
Add to portfolio,,,,,,,,
