row_id,sent_id,text,aspects,polarity,opinion_sample
31,31_0,"Phase 4 data reported that the trial did not show a statistically significant difference between YUPELRI and Spiriva HandiHaler on the primary endpoint, noted January 5, 2024.",endpoint,POS,statistically significant
35,35_0,"NDA submitted to the FDA, noted January 5, 2024.",regulatory,POS,NDA submitted
36,36_0,"NDA submitted to the FDA, noted January 5, 2024.",regulatory,POS,NDA submitted
37,37_0,"FDA Approved on January 5, 2023.",regulatory,POS,FDA Approved
38,38_0,"FDA Approved on January 5, 2023.",regulatory,POS,FDA Approved
46,46_0,"Phase 2b trial met its primary endpoint, noted January 8, 2024.","endpoint,phase",POS,met
51,51_0,Phase 2 data presented at the Biotech Showcase showed that dose was statistically significant drug effects were observed in FDA-recognized efficacy endpoints as early as the 15-day first visit after d,phase,POS,statistically significant
53,53_0,"Phase 2a trial did not meet its primary endpoint, noted January 8, 2024.","endpoint,phase",NEG,did not meet
56,56_0,"Phase 2 primary endpoint was met in its randomized, placebo-controlled study, noted on January 8, 2024.","endpoint,phase",POS,met
57,57_0,"Phase 3 trial met its primary endpoint, noted January 8, 2024.","endpoint,phase",POS,met
61,61_0,"Phase 1b data demonstrated potential best-in-class profile, including half-life >10 hours, robust target engagement and well tolerated safety profile, supporting advancement for combination developmen","safety,phase",POS,well tolerated
68,68_0,"IND cleared by the FDA, noted January 9, 2024",regulatory,POS,cleared by the FDA
69,69_0,"Phase 3 pivotal efficacy and safety study met the primary endpoint , noted January 9, 2024.","endpoint,safety,phase",POS,met
70,70_0,"Phase 3 pivotal efficacy and safety study met the primary endpoint , noted January 9, 2024.","endpoint,safety,phase",POS,met
71,71_0,"Phase 1 data reported that treatment was generally well tolerated, with no Grade 4 or 5 treatment-related adverse events (TRAEs) reported, noted January 10, 2025.","safety,phase",POS,well tolerated
72,72_0,"Phase 2 32-week interim data reported that 3E10 vg/eye achieved an 86% reduction in injection burden vs. projected on-label aflibercept 2mg Q8W and dose response with 61% reduction vs. 1E10 vg/eye, wi",phase,POS,achieved
74,74_0,"Phase 2b topline data on ATI-1777 2% QD showed a trend toward significance, ATI-1777 2% BID achieved a statistically significant result in the primary efficacy endpoint at week 4, noted January 10, 2","phase,clinical",POS,achieved
76,76_0,"Phase 2 dosing initiated, noted January 10, 2024.","phase,clinical",POS,dosing initiated
77,77_0,"Phase 1 first cohort completed, noted January 10, 2024.","phase,clinical",POS,first cohort completed
79,79_0,"FDA Approved on January 12, 2024.",regulatory,POS,FDA Approved
80,80_0,"Additional Phase 3 data reported that at Week 4, a statistically significant greater percentage of patients achieved a 50% reduction in EASI scores (EASI-50), with 69.2% of patients treated with roflu",phase,POS,statistically significant
81,81_0,"Approved January 16, 2024.",catalyst,POS,Approved
83,83_0,"Approved January 16, 2024.",catalyst,POS,Approved
84,84_0,"Approved January 16, 2024.",catalyst,POS,Approved
85,85_0,"FDA Approved on January 16, 2024.",regulatory,POS,FDA Approved
86,86_0,"FDA Approved on January 16, 2024.",regulatory,POS,FDA Approved
93,93_1,"Phase 1 trial enrollment completed, noted January 17, 2024","phase,enrollment",POS,enrollment completed
94,94_1,"Phase 1 trial enrollment completed, noted January 17, 2024","phase,enrollment",POS,enrollment completed
99,99_0,"Enrollment completed, noted January 17, 2024.",enrollment,POS,Enrollment completed
102,102_0,"Phase 2/3 IRB approved protocol to asses drug in patients, noted January 17, 2024.",phase,POS,approved
105,105_0,"Phase 2 data reported that the trial met primary endpoint with clinically meaningful and statistically significant decreases in urticaria disease activity across multiple dose groups, noted January 18","endpoint,phase",POS,met
106,106_0,"Phase 2 data presented at ASCO GI demonstrated early activity with 38% objective response rate including three complete responses, noted January 18, 2024.","phase,clinical",POS,data presented at ASCO
109,109_0,"Phase 3 data presented at ASCO GI reported that treatment reduced the risk of disease progression or death by 23% compared to TACE alone, noted January 19, 2024.","phase,clinical",POS,data presented at ASCO
110,110_1,Alvotech believes it is in position to receive approval on BsUFA,regulatory,POS,approval
111,111_1,Alvotech believes it is in position to receive approval on BsUFA,regulatory,POS,approval
112,112_1,Alvotech believes it is in position to receive approval on BsUFA,regulatory,POS,approval
113,113_1,Alvotech believes it is in position to receive approval on BsUFA,regulatory,POS,approval
116,116_0,"Phase 1b/2 trial approved by Netherlands, noted June 27, 2023.",phase,POS,approved
117,117_0,"Phase 1b/2 trial approved by Netherlands, noted June 27, 2023.",phase,POS,approved
120,120_0,Phase 2 trial data presented at ASCO-GI showed a major tumor regression in 67.5% of patients.,"phase,clinical",POS,data presented at ASCO
120,120_1,"The study achieved durable elimination of ctDNA, a critical biomarker for cancer clearance and long-term d",catalyst,POS,achieved
121,121_0,"Phase 3 topline data met the primary endpoint with a statistically significant reduction in the rate of HAE attacks in patients treated every 4 weeks or patients treated every 8 weeks, noted January 2","endpoint,phase,clinical",POS,met
122,122_0,"Phase 2b enrollment completed exceeding target enrollment (100/90), noted January 22, 2024.","phase,enrollment",POS,enrollment completed
124,124_0,"Phase 3 trial did not meet its primary endpoint, noted January 22, 2024.","endpoint,phase",NEG,did not meet
129,129_0,"FDA Approved on January 23, 2024.",regulatory,POS,FDA Approved
132,132_0,"Phase 1 data presented at the HEAL Initiative Scientific Meeting reported that the trial successfully met its overdose protection endpoints, noted January 25, 2024.",phase,POS,met
135,135_0,"Phase 2 sub-study data reported statistically significant improvements in measures of cardiac structure and function including left ventricular mass index (-11.4 g/m2 Â±19.4, p=0.03), maximum left vent","pvalue,phase",POS,statistically significant
136,136_0,Phase 3 data presented at ASCO GU showed a reduction of the risk of disease progression or death by 35% in patients.,"phase,clinical",POS,data presented at ASCO
139,139_0,"Approved January 25, 2024.",catalyst,POS,Approved
140,140_0,"Approved January 25, 2024.",catalyst,POS,Approved
144,144_0,"Phase 3 results presented at ASCO GU reported that with subcutaneous nivolumab demonstrating an ORR of 24.2% vs. 18.2% with IV Opdivo, noted January 27, 2024.","endpoint,phase,clinical",POS,results presented at ASCO
145,145_0,"Phase 3 results presented at ASCO GU reported that with subcutaneous nivolumab demonstrating an ORR of 24.2% vs. 18.2% with IV Opdivo, noted January 27, 2024.","endpoint,phase,clinical",POS,results presented at ASCO
148,148_0,"IND was cleared by the FDA on January 29, 2024.",regulatory,POS,cleared by the FDA
151,151_0,"Preclinical data demonstrated PALI-2108 to be safe and well tolerated, noted January 29, 2024.",safety,POS,well tolerated
152,152_0,"FDA Approved on January 29, 2024.",regulatory,POS,FDA Approved
154,154_0,Phase 1 study published at Journal of Parkinson's Disease showed that data demonstrated that Risvodetinib was well tolerated up to 7 days of daily dosing with no serious adverse events in healthy volu,"safety,phase",NEU,well tolerated
155,155_0,"Pk trial met its primary endpoints, noted January 29, 2024.",endpoint,POS,met
159,159_0,"Phase 3 data met the primary endpoint of non-inferiority to augmentin; and demonstrated statistical superiority, noted January 30, 2024.","endpoint,phase",POS,met
160,160_0,"Phase 3 trial data reported a statistically significant improvement on the primary endpoint of the time-weighted sum of the pain intensity difference from 0 to 48 hours (SPID48) compared to placebo, n","endpoint,phase,clinical",POS,statistically significant
161,161_0,"Phase 3 trial did not meet its primary endpoint, noted January 31, 2024.","endpoint,phase",NEG,did not meet
162,162_0,"Special Protocol Assessment (SPA) dosing initiated, noted January 31, 2024.",clinical,POS,dosing initiated
170,170_0,"Phase 1 trial initial data presented at the Angiogenesis, Exudation, and Degeneration reported that monthly dosing of KSI-501 was safe and well-tolerated, noted February 3, 2024.","safety,phase",POS,well-tolerated
173,173_0,"Phase 2a data reported that 320 mg group met its primary and secondary endpoints demonstrating that bexotegrast was well tolerated over a 12-week treatment period, noted February 5, 2024.","endpoint,safety,phase,financial",POS,met
174,174_0,Phase 1 data showed that it well-tolerated and delivered ustekinumab with high bioavailability.,"safety,phase",POS,well-tolerated
177,177_0,"Company submitted the clinical hold complete response to the FDA for conducting a Phase 2 trial of its low-dose oral interferon (IFN)-alpha formulation, noted February 5, 2024.","phase,regulatory",NEG,clinical hold
178,178_0,"Phase 3 study met all primary and key secondary endpoints in two randomized controlled trials in people with CF ages 12 years and older, noted February 5, 2024.","endpoint,phase,financial",POS,met
180,180_0,Phase 1/2 clinical data reported a statistically significant improvements in disease severity were reported in the Fabry Outcome Survey adaptation of the Mainz Severity Score Index (FOS-MSSI) age-adju,phase,POS,statistically significant
181,181_0,"Phase 2 trial met its primary endpoint, noted February 6, 2024.","endpoint,phase",POS,met
183,183_0,"Phase 3 trial was not successful, noted February 6, 2024.",phase,POS,successful
186,186_0,"Phase 1/2 data showed that agenT-797 holds significant promise in improving patient survival and reducing secondary infections, all while maintaining a favorable safety profile, noted February 6, 2024","safety,phase,financial",POS,favorable safety
188,188_0,"Phase 3 data presented at ASCO plenary series noted that the median PFS for patients who received fruquintinib plus paclitaxel was 5.6 months, compared to 2.7 months for those who received paclitaxel","endpoint,phase,clinical",POS,data presented at ASCO
192,192_0,"Breakthrough Therapy Designation granted by the FDA, noted February 7, 2024",regulatory,POS,Breakthrough Therapy
193,193_0,"Breakthrough Therapy Designation granted by the FDA, noted February 7, 2024",regulatory,POS,Breakthrough Therapy
195,195_0,"Phase 3 topline data reported that trial met primary endpoint, noted February 7, 2024.","endpoint,phase,clinical",POS,met
198,198_0,"Phase 2 dosing initiated, noted February 8, 2024.","phase,clinical",POS,dosing initiated
199,199_0,"Phase 2 dosing initiated, noted February 8, 2024.","phase,clinical",POS,dosing initiated
201,201_1,Safety results showed Ampligen is generally well tolerated in the treatment o,safety,POS,well tolerated
203,203_0,"Phase 2 enrollment completed, noted February 8, 2024.","phase,enrollment",POS,enrollment completed
205,205_0,"Phase 2b trial met its primary and secondary endpoints, noted February 9, 2024.","endpoint,phase,financial",POS,met
207,207_0,"IND cleared by the FDA, noted February 9, 2024.",regulatory,POS,cleared by the FDA
208,208_0,"hase 2b/3 enrollment completed, noted February 9, 2024.",enrollment,POS,enrollment completed
211,211_0,"Phase 2 study showed that treatment was generally well tolerated following repeated subcutaneous injections in patients in the 25 and 50 mg cohorts with no serious adverse events, noted February 12, 2","safety,phase",NEU,well tolerated
212,212_0,"Fast Track designation granted by the FDA on February 12, 2024.",regulatory,POS,Fast Track
215,215_0,"FDA approved on February 12, 2024.",regulatory,POS,FDA approved
217,217_0,"Type-D meeting with the FDA agreed in a that data from a single, adequate, and well-controlled study may form the primary basis of approval of a BLA for isaralgagene civaparvovec, noted February 12, 2",regulatory,POS,approval
218,218_0,"FDA Cleared IND on February 12, 2024.",regulatory,POS,FDA Cleared
219,219_0,"Phase 1 2nd cohort dosing initiated, noted February 12, 2024.","phase,clinical",POS,dosing initiated
222,222_0,"The FDA cleared IND and granted fast-track designation on February 13, 2024.",regulatory,POS,fast-track
223,223_0,"Phase 3 clinical trial met all primary and key secondary endpoints and demonstrated a favorable safety profile, noted February 13, 2024.","endpoint,safety,phase,financial",POS,met
224,224_0,"Fast track designation granted by the FDA on February 13, 2024.",regulatory,POS,Fast track
225,225_0,"INDa cleared by the FDA on February 13, 2024.",regulatory,POS,cleared by the FDA
227,227_0,"IND cleared by the FDA, noted February 13, 2024.",regulatory,POS,cleared by the FDA
231,231_0,"Approved February 13, 2024.",catalyst,POS,Approved
232,232_0,"Phase 3 patient enrollment completed, noted February 14, 2024.","phase,enrollment",POS,enrollment completed
234,234_1,"No serious adverse events related to GLSI-100 have been reported to date, noted February 14 2024.",safety,NEG,serious adverse events
240,240_0,"The preclinical study demonstrated successful drug delivery, noted February 14, 2024.",catalyst,POS,successful
244,244_0,"Phase 1 dosing initiated, noted February 15, 2024.","phase,clinical",POS,dosing initiated
245,245_0,"Phase 3 study met the interim primary endpoint, noted February 15, 2024.","endpoint,phase",POS,met
254,254_0,"Phase 1 dosing initiated in China, noted February 16, 2024.","phase,clinical",POS,dosing initiated
255,255_0,"FDA Approved on February 16, 2024.",regulatory,POS,FDA Approved
256,256_0,"Approved February 17, 2024.",catalyst,POS,Approved
257,257_0,"Phase 3 data reported that the trial showed statistically significant and highly clinically meaningful improvement in progression-free survival (PFS), noted February 19, 2024.","endpoint,phase",POS,statistically significant
258,258_1,"Phase 2a trial placed on clinical hold February 20, 2024.","phase,regulatory",NEG,clinical hold
260,260_0,"Fast Track Designation granted by the FDA on February 20, 2024.",regulatory,POS,Fast Track
261,261_1,"FDA granted Fast Track designation, noted February 20, 2024.",regulatory,POS,Fast Track
266,266_0,"Supplemental approval granted by the FDA, noted February 20, 2024.",regulatory,POS,approval
268,268_0,"Phase 1 trial met its primary endpoint, noted February 21, 2024.","endpoint,phase",POS,met
269,269_0,"Phase 2 enrollment completed, noted February 21, 2024.","phase,enrollment",POS,enrollment completed
272,272_0,"Phase 2a data demonstrated a statistically significant benefit in killing ticks compared to placebo, noted February 22, 2024.",phase,POS,statistically significant
276,276_0,"Phase 2 open-label extension data reported that both both doses of VTX002 achieved nominal statistical significance for all key secondary endpoints, noted February 22, 2024.","endpoint,phase,financial",POS,achieved
277,277_0,"PDUFA Priority Review date June 27, 2024.",regulatory,POS,Priority Review
280,280_0,"Phase 1/2a approval to commence dosing, noted February 23, 2024.","phase,regulatory",POS,approval
282,282_0,"Approved February 23, 2024.",catalyst,POS,Approved
283,283_0,"Approved February 23, 2024.",catalyst,POS,Approved
286,286_0,"EAGLE-1 trial met its primary endpoint, noted February 26, 2024.",endpoint,POS,met
287,287_0,"Phase 1 data reported that no severe or serious adverse events were observed in patients treated in Cohort 1, noted February 26, 2024.","safety,phase",NEG,serious adverse events
288,288_0,"Preclinical data reported that treatment achieved comparable or superior efficacy and was shown to have a distinctive multi-modal mechanism of action versus empagliflozin, noted February 26, 2024.",catalyst,POS,achieved
289,289_0,"Approval noted February 26, 2024.",regulatory,POS,Approval
290,290_0,"Phase 1 presented at Tandem Meetings showed that all eight (100%) treatment-arm patients are relapse-free and have achieved and maintained complete donor chimerism following treatment, noted February",phase,POS,achieved
292,292_0,"Phase 1 updated clinical data at KOL illustrated a potential best-in-class profile: promising efficacy with favorable safety profile in heavily pretreated subjects with late-stage mCRPC, noted Februar","safety,phase",POS,favorable safety
294,294_0,"Approved for expanded indication to treat people with HIV (PWH) who have suppressed viral loads with known or suspected M184V/I resistance, noted February 26, 2024.",catalyst,POS,Approved
295,295_0,"CRL issued by the FDA, noted February 27, 2024.",regulatory,NEG,CRL
296,296_0,"Phase 2 study met primary and all secondary endpoints, demonstrating reductions in body weight, noted February 27, 2024.","endpoint,phase,financial",POS,met
297,297_0,Phase 2a topline data reported statistically significant improvements (p<0.05) in inflammatory lesions and Investigator's Global Assessment (IGA) score compared to vehicle at Week 12 TP-04 was genera,"pvalue,phase,clinical",POS,statistically significant
299,299_0,"Phase 3 dosing initiated, noted February 27, 2024.","phase,clinical",POS,dosing initiated
300,300_0,"Phase 2 was well tolerated with anti-tumor activity at relevant higher dose levels observed with 29% Objective Response Rate (ORR) and 71% Disease Control Rate (DCR), noted February 27, 2024.","endpoint,safety,phase",POS,well tolerated
301,301_0,"Phase 1 dosing initiated, noted February 27, 2024.","phase,clinical",POS,dosing initiated
302,302_0,"Phase 3 final results reported met the first co-primary endpoint in the Intent-to-Treat Analysis, however did not meet the co-primary endpoint showing superiority over vehicle, noted February 28, 2024.","endpoint,phase",NEU,met
303,303_0,"Phase 2 topline data reported that the trial met its primary endpoint, noted February 28, 2024.","endpoint,phase,clinical",POS,met
304,304_0,"Preclinical data reported that CTX-8371 demonstrates enhanced anti-tumor activity relative to approved anti-PD-1 blockers and anti-PD-L1 blockers in a series of in vitro and in vivo experimental settings, noted February 28, 2024.",catalyst,POS,approved
306,306_0,"Phase 2 topline FL results reported that the trial met its primary endpoint, noted February 28, 2024.","endpoint,phase",POS,met
314,314_0,"Phase 3 top-line data reported that the trial met its primary endpoint, however two key secondary endpoints were specific to colon-in-continuity patients in assessing at least one day/week off PS versus baseline and reaching enteral autonomy at week 48, both of which were not achieved, noted February 29, 2024.","endpoint,phase,financial,clinical",POS,met
315,315_0,"Phase 2 full clinical results presented at ACTRIMS Forum reported that treatment demonstrated significant improvement of vision as measured by low contrast letter acuity (LCLA) through 35 months from randomization, noted February 29, 2024.","phase,clinical",POS,significant improvement
321,321_0,"IND cleared by the FDA, noted February 29, 2024",regulatory,POS,cleared by the FDA
323,323_0,"Additional Phase 2a data reported significant improvement of -2.4 points for the sleep/fatigue domain of the Non-Motor Symptom Scale (NMSS) in Parkinson's Disease, whereas placebo patients experienced a worsening of +1.0 points, noted March 1, 2024","phase,clinical",POS,significant improvement
324,324_0,Additional Phase 3 data reported that due to the exclusion of data from so many sites the trial missed statistical significance but showed promising directional data on cognitive and functional measures.,phase,NEG,missed
325,325_0,"IND Cleared by the FDA, noted March 1, 2024",regulatory,POS,Cleared by the FDA
326,326_3,This is the first time that a relapsed/refractory (r/r) AML patient achieved a CR with CDK9 inhibition monotherapy.,endpoint,POS,achieved
326,326_5,"All key study objectives were met regarding pharmacokinetic (PK), pharmacodynamic (PD), safety, and clinical activity, noted March 1, 2024.",safety,POS,met
327,327_0,"FDA approved on March 1, 2024.",regulatory,POS,FDA approved
332,332_0,"Phase 1 data reported the complete remission was achieved in 64% of patients, with an ORR of 73%, noted March 4, 2024.","endpoint,phase",POS,achieved
337,337_0,"FDA approved on March 4, 2024.",regulatory,POS,FDA approved
338,338_0,"Phase 2/3 last patient dosed, noted March 4, 2024.","phase,clinical",POS,last patient dosed
339,339_0,"Phase 2 enrollment completed, noted March 4, 2024.","phase,enrollment",POS,enrollment completed
345,345_0,"Phase 3 trial stopped early due to efficacy, based on a recommendation from an Independent Data Monitoring Committee.",phase,POS,stopped early due to efficacy
345,345_1,"The trial achieved its primary endpoint by demonstrating a statistically significant and superior reduction in kidney disease progression, major adverse cardiovascular events (MACE) and death of 24% for people treated with semaglutide 1.0 mg compared to placebo, noted March 5, 2024.",endpoint,POS,achieved
348,348_0,"Phase 2 trial met the primary endpoint, noted March 5, 2024.","endpoint,phase",POS,met
356,356_0,"IND cleared by the FDA noted, March 5, 2024.",regulatory,POS,cleared by the FDA
357,357_0,"Phase 1 pilot study experienced a marked decrease in the burden of infection, and the procedures were found to be safe and well tolerated, noted March 5, 2024.","safety,phase",POS,well tolerated
360,360_0,"FDA biosimilar of Xgeva (denosumab) and Prolia (denosumab) approved on March 5, 2024.",catalyst,POS,approved
362,362_0,"CRL issued by FDA on March 6, 2024.",regulatory,NEG,CRL
366,366_0,"Phase 1 dosing initiated, noted March 6, 2024.","phase,clinical",POS,dosing initiated
367,367_0,"Phase 1 dosing initiated, noted March 6, 2024.","phase,clinical",POS,dosing initiated
370,370_0,"Phase 2 third-line ombination THIO 180mg + cemiplimab achieved 38% overall response rate (ORR) in difficult-to-treat, noted March 6, 2024","endpoint,phase",POS,achieved
371,371_0,"Phase 2 third-line ombination THIO 180mg + cemiplimab achieved 38% overall response rate (ORR) in difficult-to-treat, noted March 6, 2024","endpoint,phase",POS,achieved
376,376_0,"Phase 3 data reported that 97% percent (71/73) of participants treated with Biktarvy achieved viral suppression (HIV-1 RNA < 50 copies /ml) as did 97% (36/37) of participants treated with the DTG-based regimen, noted March 6, 2024.",phase,POS,achieved
378,378_0,"Approved March 7, 2024.",catalyst,POS,Approved
379,379_0,"Phase 2b data 12-week data reported that the trial met its key secondary endpoint and maintained a clinically and statistically significant HAM-A reductions compared to placebo at 12 weeks with a 65% clinical response rate and 48% clinical remission rate, noted March 7, 2024.","endpoint,phase,financial",POS,met
380,380_0,"Phase 1 data reported well-tolerated and 50% of patients achieved stable disease or better with two partial responses and two complete responses lasting 7.5 and 66+ months, noted March 7, 2024.","safety,phase",POS,achieved
381,381_0,"Phase 1 data reported well-tolerated and 50% of patients achieved stable disease or better with two partial responses and two complete responses lasting 7.5 and 66+ months, noted March 7, 2024.","safety,phase",POS,achieved
382,382_0,"Phase 3 trial met its primary endpoint, noted March 7, 2024","endpoint,phase",POS,met
387,387_0,"Phase 3 topline results did not meet the primary endpoint, noted March 8, 2024.","endpoint,phase,clinical",NEG,did not meet
389,389_0,"Approved March 8, 2024.",catalyst,POS,Approved
394,394_0,"Phase 2b 24-week data reported that 52% of patients achieved ACR50+PASI100 and up to 61% of patients achieved Minimal Disease Activity (MDA), noted March 10, 2024.",phase,POS,achieved
397,397_0,"Phase 3 results data presented at AAD reported that 56.3% of patients who received Otezla through week 52 achieved static Physician Global Assessment (sPGA) response, noted March 11, 2024.",phase,POS,achieved
398,398_0,"Phase 2 additional data reported that more than three quarters (79.2%) of on-treatment patients achieved at least a 50% reduction in AN count (AN50), 54.2% achieved a 75% reduction (AN75), 20.8% achieved 90% reduction (AN90), and 20.8% achieved complete clearance (100% reduction, AN100), surpassing the 56.3%, 25.0%, 12.5% and 12.5% reductions, respectively, in the vehicle control group, noted March 11, 2024.",phase,POS,achieved
399,399_0,"Phase 2 data reported that the trial met its primary endpoint, noted March 11, 2024.","endpoint,phase",POS,met
400,400_0,"Phase 1a/1b clinical hold lifted by the FDA, noted March 11, 2024.",regulatory,NEG,clinical hold
402,402_0,"IND cleared by the FDA, noted March 11, 2024.",regulatory,POS,cleared by the FDA
403,403_0,"Phase 3 data reported that 68% of people experienced significant improvement of at least 75% in disease extent and severity (EASI-75), noted March 11, 2024.","phase,clinical",POS,significant improvement
404,404_0,Phase 1 clinical update presented at virtual investor event showed that treatment was well-tolerated with no dose-limiting toxicities identified.,"safety,phase",POS,well-tolerated
414,414_0,"CRL announced March 11, 2024.",regulatory,NEG,CRL
415,415_0,"Phase 3 study did not meet its primary endpoint, noted March 11, 2024.","endpoint,phase",NEG,did not meet
417,417_0,"Phase 2 OLE dosing initiated, noted March 11, 2024.","phase,clinical",POS,dosing initiated
420,420_0,"Phase 3 data reported a statistically significant and clinically meaningful improvement in overall survival (OS) compared to lenalidomide and rituximab plus placebo, noted March 12, 2024.","endpoint,phase",POS,statistically significant
422,422_0,"Additional Phase 2 durability data reported with significant improvement in depression symptoms at four months with 75% of patients in remission from depression after two doses, noted March 13, 2024.","phase,clinical",POS,significant improvement
423,423_0,"Phase 2 study met its primary endpoint, noted March 13, 2024.","endpoint,phase",POS,met
425,425_0,"Preclinical data reported robust penetration of the BBB and widespread transgene expression throughout the brain, and the treatment was well tolerated in NHPs, with no notable treatment related pathological findings in brain, spinal cord or peripheral tissues, noted March 13, 2024.",safety,POS,well tolerated
426,426_0,"Preclinical data reported robust penetration of the BBB and widespread transgene expression throughout the brain, and the treatment was well tolerated in NHPs, with no notable treatment related pathological findings in brain, spinal cord or peripheral tissues, noted March 13, 2024.",safety,POS,well tolerated
427,427_0,"Phase 2 topline data reported that treatment was safe and well tolerated, with all mezagitamab doses tested demonstrated a higher platelet response rate than placebo, noted March 13, 2024.","safety,phase,clinical",POS,well tolerated
428,428_0,"Phase 2 topline data reported that treatment was safe and well tolerated, with all mezagitamab doses tested demonstrated a higher platelet response rate than placebo, noted March 13, 2024.","safety,phase,clinical",POS,well tolerated
430,430_0,"Phase 2b top-line data reported that trial did not meet its primary endpoint, noted March 13, 2024.","endpoint,phase,clinical",NEG,did not meet
431,431_0,"Phase 2 top-line data reported that 73% of all patients (22 of 30 patients) met the efficacy endpoint of A4 or GC reduction from baseline at 12 weeks with no treatment-related SAEs reported, noted March 13, 2024.","safety,sample,phase,clinical",POS,met
432,432_0,"Approval announced March 13, 2024.",regulatory,POS,Approval
435,435_0,"Phase 2 achieved statistically significant liver histologic improvement as measured by at least a 2-point reduction in NAFLD Activity Score (NAS), noted March 13, 2024.",phase,POS,achieved
437,437_0,"Phase 1/2 dosing initiated March 13, 2024.","phase,clinical",POS,dosing initiated
441,441_0,"Approved on March 14, 2024.",catalyst,POS,Approved
442,442_0,"Approved March 14, 2024.",catalyst,POS,Approved
443,443_0,"Approved March 14, 2024.",catalyst,POS,Approved
444,444_0,"Approved March 14, 2024.",catalyst,POS,Approved
445,445_0,"Phase 3 trial met all primary and secondary pharmacokinetic endpoints, noted March 15, 2024.","phase,financial",POS,met
446,446_0,"Additional Phase 1/2 data reported that all six patients with Fanconi Anemia treated with briquilimab achieved full donor engraftment and full blood count recovery and briquilimab was well tolerated, noted March 15, 2024.","safety,phase",POS,achieved
454,454_0,"Phase 2a achieved its primary efficacy endpoint by significantly lowering HbA1c level in both the lanifibranor arm and in the lanifibranor with empagliflozin arm compared to placebo, noted March 18, 2",phase,POS,achieved
458,458_0,"Approved March 19, 2024.",catalyst,POS,Approved
459,459_0,"Phase 3 topline data reported that the trial met its primary endpoint, noted March 19, 2024.","endpoint,phase,clinical",POS,met
462,462_0,"Phase 3 trial met the primary efficacy endpoint demonstrating non-inferiority of the incidence of acute kidney injury, noted March 19, 2024.",phase,POS,met
468,468_0,"FDA approved on March 19, 2024.",regulatory,POS,FDA approved
469,469_0,Phase 1/2 clinical data from cohort one (low dose) showed that dosing was well-tolerated with no treatment-emergent SAEs as of 35-week assessment.,"safety,phase",POS,well-tolerated
471,471_0,"Phase 3 trial met primary endpoint, noted March 20, 2024.","endpoint,phase",POS,met
472,472_0,"PK data reported that the trial objective were met, with oral GLP-2 tablets exhibiting significant systemic exposure, noted March 20, 2024.",catalyst,POS,met
473,473_0,"PK data reported that the trial objective were met, with oral GLP-2 tablets exhibiting significant systemic exposure, noted March 20, 2024.",catalyst,POS,met
474,474_0,"Phase 2 data reported that eight out of eight patients have successfully transitioned from oral Tacrolimus to TFF TAC, with favorable safety results with no mortality or discontinuations due to advers","safety,phase",POS,favorable safety
