row_id,sent_id,text,aspects,polarity,opinion_sample
303,303_0,"Phase 2 topline data reported that the trial met its primary endpoint, noted February 28, 2024.","endpoint,phase",POS,met
306,306_0,"Phase 2 topline FL results reported that the trial met its primary endpoint, noted February 28, 2024.","endpoint,phase",POS,met
314,314_0,"Phase 3 top-line data reported that the trial met its primary endpoint, however two key secondary endpoints were specific to colon-in-continuity patients in assessing at least one day/week off PS versus baseline and reaching enteral autonomy at week 48, both of which were not achieved, noted February 29, 2024.Â read less","endpoint,phase,financial",POS,met
324,324_0,Additional Phase 3 data reported that due to the exclusion of data from so many sites the trial missed statistical significance but showed promising directional data on cognitive and functional measures.,phase,NEG,missed
326,326_3,This is the first time that a relapsed/refractory (r/r) AML patient achieved a CR with CDK9 inhibition monotherapy.,endpoint,POS,achieved
326,326_5,"All key study objectives were met regarding pharmacokinetic (PK), pharmacodynamic (PD), safety, and clinical activity, noted March 1, 2024.Â read less",safety,POS,met
332,332_0,"Phase 1 data reported the complete remission was achieved in 64% of patients, with an ORR of 73%, noted March 4, 2024.","endpoint,phase",POS,achieved
345,345_1,"The trial achieved its primary endpoint by demonstrating a statistically significant and superior reduction in kidney disease progression, major adverse cardiovascular events (MACE) and death of 24% for people treated with semaglutide 1.0 mg compared to placebo, noted March 5, 2024.Â read less",endpoint,POS,achieved
348,348_0,"Phase 2 trial met the primary endpoint, noted March 5, 2024.","endpoint,phase",POS,met
357,357_0,"Phase 1 pilot study experienced a marked decrease in the burden of infection, and the procedures were found to be safe and well tolerated, noted March 5, 2024.","safety,phase",POS,well tolerated
362,362_0,"CRL issued by FDA on March 6, 2024.",regulatory,NEG,CRL
370,370_0,"Phase 2 third-line ombination THIO 180mg + cemiplimab achieved 38% overall response rate (ORR) in difficult-to-treat, noted March 6, 2024","endpoint,phase",POS,achieved
371,371_0,"Phase 2 third-line ombination THIO 180mg + cemiplimab achieved 38% overall response rate (ORR) in difficult-to-treat, noted March 6, 2024","endpoint,phase",POS,achieved
376,376_0,"Phase 3 data reported that 97% percent (71/73) of participants treated with Biktarvy achieved viral suppression (HIV-1 RNA < 50 copies /ml) as did 97% (36/37) of participants treated with the DTG-based regimen, noted March 6, 2024.Â read less",phase,POS,achieved
379,379_0,"Phase 2b data 12-week data reported that the trial met its key secondary endpoint and maintained a clinically and statistically significant HAM-A reductions compared to placebo at 12 weeks with a 65% clinical response rate and 48% clinical remission rate, noted March 7, 2024.Â read less","endpoint,financial",POS,met
380,380_0,"Phase 1 data reported well-tolerated and 50% of patients achieved stable disease or better with two partial responses and two complete responses lasting 7.5 and 66+ months, noted March 7, 2024.","safety,phase",POS,achieved
381,381_0,"Phase 1 data reported well-tolerated and 50% of patients achieved stable disease or better with two partial responses and two complete responses lasting 7.5 and 66+ months, noted March 7, 2024.","safety,phase",POS,achieved
382,382_0,"Phase 3 trial met its primary endpoint, noted March 7, 2024","endpoint,phase",POS,met
387,387_0,"Phase 3 topline results did not meet the primary endpoint, noted March 8, 2024.","endpoint,phase",NEG,did not meet
394,394_0,"Phase 2b 24-week data reported that 52% of patients achieved ACR50+PASI100 and up to 61% of patients achieved Minimal Disease Activity (MDA), noted March 10, 2024.",catalyst,POS,achieved
397,397_0,"Phase 3 results data presented at AAD reported that 56.3% of patients who received Otezla through week 52 achieved static Physician Global Assessment (sPGA) response, noted March 11, 2024.",phase,POS,achieved
398,398_0,"Phase 2 additional data reported that more than three quarters (79.2%) of on-treatment patients achieved at least a 50% reduction in AN count (AN50), 54.2% achieved a 75% reduction (AN75), 20.8% achieved 90% reduction (AN90), and 20.8% achieved complete clearance (100% reduction, AN100), surpassing the 56.3%, 25.0%, 12.5% and 12.5% reductions, respectively, in the vehicle control group, noted March 11, 2024.Â read less",phase,POS,achieved
399,399_0,"Phase 2 data reported that the trial met its primary endpoint, noted March 11, 2024.","endpoint,phase",POS,met
400,400_0,"Phase 1a/1b clinical hold lifted by the FDA, noted March 11, 2024.",regulatory,NEG,clinical hold
404,404_0,Phase 1 clinical update presented at virtual investor event showed that treatment was well-tolerated with no dose-limiting toxicities identified.,"safety,phase",POS,well-tolerated
414,414_0,"CRL announced March 11, 2024.",regulatory,NEG,CRL
415,415_0,"Phase 3 study did not meet its primary endpoint, noted March 11, 2024.","endpoint,phase",NEG,did not meet
420,420_0,"Phase 3 data reported a statistically significant and clinically meaningful improvement in overall survival (OS) compared to lenalidomide and rituximab plus placebo, noted March 12, 2024.","endpoint,phase",POS,statistically significant
423,423_0,"Phase 2 study met its primary endpoint, noted March 13, 2024.","endpoint,phase",POS,met
425,425_0,"Preclinical data reported robust penetration of the BBB and widespread transgene expression throughout the brain, and the treatment was well tolerated in NHPs, with no notable treatment related pathological findings in brain, spinal cord or peripheral tissues, noted March 13, 2024.Â read less",safety,POS,well tolerated
426,426_0,"Preclinical data reported robust penetration of the BBB and widespread transgene expression throughout the brain, and the treatment was well tolerated in NHPs, with no notable treatment related pathological findings in brain, spinal cord or peripheral tissues, noted March 13, 2024.Â read less",safety,POS,well tolerated
427,427_0,"Phase 2 topline data reported that treatment was safe and well tolerated, with all mezagitamab doses tested demonstrated a higher platelet response rate than placebo, noted March 13, 2024.","safety,phase",POS,well tolerated
428,428_0,"Phase 2 topline data reported that treatment was safe and well tolerated, with all mezagitamab doses tested demonstrated a higher platelet response rate than placebo, noted March 13, 2024.","safety,phase",POS,well tolerated
430,430_0,"Phase 2b top-line data reported that trial did not meet its primary endpoint, noted March 13, 2024.",endpoint,NEG,did not meet
431,431_0,"Phase 2 top-line data reported that 73% of all patients (22 of 30 patients) met the efficacy endpoint of A4 or GC reduction from baseline at 12 weeks with no treatment-related SAEs reported, noted March 13, 2024.Â read less","safety,sample,phase",POS,met
432,432_0,"Approval announced March 13, 2024.",regulatory,POS,Approval
435,435_0,"Phase 2 achieved statistically significant liver histologic improvement as measured by at least a 2-point reduction in NAFLD Activity Score (NAS), noted March 13, 2024.",phase,POS,achieved
445,445_0,"Phase 3 trial met all primary and secondary pharmacokinetic endpoints, noted March 15, 2024.","phase,financial",POS,met
446,446_0,"Additional Phase 1/2 data reported that all six patients with Fanconi Anemia treated with briquilimab achieved full donor engraftment and full blood count recovery and briquilimab was well tolerated, noted March 15, 2024.Â read less","safety,phase",POS,achieved
454,454_0,"Phase 2a achieved its primary efficacy endpoint by significantly lowering HbA1c level in both the lanifibranor arm and in the lanifibranor with empagliflozin arm compared to placebo, noted March 18, 2",catalyst,POS,achieved
459,459_0,"Phase 3 topline data reported that the trial met its primary endpoint, noted March 19, 2024.","endpoint,phase",POS,met
462,462_0,"Phase 3 trial met the primary efficacy endpoint demonstrating non-inferiority of the incidence of acute kidney injury, noted March 19, 2024.",phase,POS,met
469,469_0,Phase 1/2 clinical data from cohort one (low dose) showed that dosing was well-tolerated with no treatment-emergent SAEs as of 35-week assessment.,"safety,phase",POS,well-tolerated
471,471_0,"Phase 3 trial met primary endpoint, noted March 20, 2024.","endpoint,phase",POS,met
472,472_0,"PK data reported that the trial objective were met, with oral GLP-2 tablets exhibiting significant systemic exposure, noted March 20, 2024.",catalyst,POS,met
473,473_0,"PK data reported that the trial objective were met, with oral GLP-2 tablets exhibiting significant systemic exposure, noted March 20, 2024.",catalyst,POS,met
474,474_0,"Phase 2 data reported that eight out of eight patients have successfully transitioned from oral Tacrolimus to TFF TAC, with favorable safety results with no mortality or discontinuations due to advers","safety,phase",POS,favorable safety
475,475_0,"Phase 3 data reported that the trial did not meet its dual primary endpoints of overall survival (OS) and progression-free survival (PFS), noted March 21, 2024.","endpoint,phase",NEG,did not meet
481,481_0,"Phase 2 additional efficacy data showed a statistically significant and durable reduction in ocular pain statistically significant improvement in Tear Film Break-Up Time (TFBUT) throughout the study,",phase,POS,statistically significant
484,484_0,"Full approval announced March 22, 2024.",regulatory,POS,approval
485,485_0,"EUA approval announced March 22, 2024.",regulatory,POS,approval
491,491_0,"Phase 3 trial met its primary endpoint, noted March 25, 2024.","endpoint,phase",POS,met
494,494_0,"Phase 1b/2 proof of concept data reported favorable safety and tolerability profile, mean monthly attack rate reduction of 90-96% for up to 6 months of follow up, noted March 25, 2024.","effect,safety",POS,favorable safety
497,497_0,CRL issued by FDA on March 25 2024.,regulatory,NEG,CRL
498,498_0,CRL issued by FDA on March 25 2024.,regulatory,NEG,CRL
507,507_0,"ANDA Approval from the FDA, noted March 25, 2024.",regulatory,POS,Approval
508,508_0,"CRL issued March 25, 2024.",regulatory,NEG,CRL
509,509_0,"CRL issued March 25, 2024.",regulatory,NEG,CRL
510,510_0,"Phase 2 data reported a 100% complete response rate in the 45 mg cohort, and in the 15 mg cohort, 80% of patients achieved a complete response and 20% achieved a partial response, noted March 26, 2024",phase,POS,achieved
512,512_0,Phase 1 data was shown to be safe and well-tolerated in the 28-day study with low rates of GI-related adverse events.,"safety,phase",POS,well-tolerated
513,513_0,"FDA has granted approval of 12-month shelf life for INTERCEPT Platelet Processing Sets, from the date of manufacture, effective immediately, noted March 26, 2024.",regulatory,POS,approval
522,522_0,"Phase 3 final data clinical trial met its primary endpoint, demonstrating a statistically significant improvement in time to intracranial progression for adult patients treated with Tumor Treating Fie","endpoint,phase",POS,met
523,523_0,"Phase 3 final data clinical trial met its primary endpoint, demonstrating a statistically significant improvement in time to intracranial progression for adult patients treated with Tumor Treating Fie","endpoint,phase",POS,met
524,524_0,"Phase 2a initial results demonstrated that a single 10mg dose of BPL-003 was well-tolerated and resulted in a rapid onset and durable antidepressant effect in patients living with TRD, noted March 27,",safety,POS,well-tolerated
528,528_0,"Phase 2 data continue to demonstrate antifungal activity and a favorable safety and tolerability profile, noted March 27, 2024.","safety,phase",POS,favorable safety
536,536_0,"Phase 2 initial data reported that treatment was well-tolerated with an acceptable safety profile, noted March 28, 2024.","safety,phase",POS,well-tolerated
541,541_0,"Phase 1b preliminary data reported that VRON-0200 was safe and well tolerated, with no clinical or laboratory changes of concern, noted March 28, 2024.",safety,POS,well tolerated
547,547_0,"Phase 1b showed that serial procedures were well tolerated without observed dose-limiting toxicity in first cohort, noted March 28, 2024.",safety,POS,well tolerated
548,548_0,"Phase 3 trial met its primary endpoints, noted March 28, 2024.","endpoint,phase",POS,met
550,550_1,"More than 80% of subjects achieved >50% reduction in urine protein creatinine ratio (UPCR), noted",catalyst,POS,achieved
552,552_0,"A District Court set aside the injunction and the FDA is no longer enjoined from issuing final approval of Liquidia's New Drug Application (NDA) for YUTREPIA (treprostinil) inhalation powder, noted Ap",regulatory,POS,approval
556,556_0,Phase 2 study met its primary endpoint.,"endpoint,phase",POS,met
556,556_1,"Despite improved measures of light tolerance, including the key secondary endpoint, in both 20 mg and 60 mg dose groups, but it did not meet statistical signifi","endpoint,financial",NEG,did not meet
558,558_0,"Phase 1a demonstrated acceptable safety and tolerability with no reported serious adverse events, noted April 1, 2024.",safety,NEG,serious adverse events
564,564_0,"Phase 1a demonstrated acceptable safety and tolerability with no reported serious adverse events, noted April 1, 2024.",safety,NEG,serious adverse events
571,571_0,"Phase 2 cohort 4 data reported a a statistically significant reduction of approximately 40% in Rheumatoid Factor in the abiprubart group, noted April 2, 2024.",phase,POS,statistically significant
576,576_0,Phase 3 primary endpoint was met with 71% of participants dosed with LNZ100 achieving three-lines or greater improvement at 3 hours.,"endpoint,phase",POS,met
581,581_0,"Phase 1/2 has been well tolerated in participants at the doses administered, with no dose-limiting toxicities observed.","safety,phase",POS,well tolerated
589,589_0,Phase 2b study did not meet the pre-specified threshold of pâ‰¤0.2.,catalyst,NEG,did not meet
596,596_0,"Phase 3 trial met the the dual primary endpoints of overall survival (OS) and progression-free survival (PFS), noted April 5, 2024.","endpoint,phase",POS,met
605,605_0,"FDA Approval on April 5, 2024.",regulatory,POS,Approval
606,606_0,"FDA Approval on April 5, 2024.",regulatory,POS,Approval
614,614_0,"Phase 3 trial met her primary endpoint, noted April 7, 2024.","endpoint,phase",POS,met
615,615_0,"Phase 1/2 trial has met primary endpoints of safety and immunogenicity and secondary endpoint for efficacy based on response rate, noted April 7, 2024.","endpoint,safety,phase,financial",POS,met
635,635_0,Phase 3 results presented at the ASCRS Conference 2024 included co-Primary symptom endpoint of pain met statistical significance and 7 of 11 secondary symptom endpoints met statistical significance (p,"phase,financial",POS,met
636,636_0,"CRL announced April 8, 2024.",regulatory,NEG,CRL
646,646_0,"Phase 1 data reported that the initial dose level was well tolerated and demonstrated durable objective responses after MT-601 treatment, noted April 8, 2024.","safety,phase",POS,well tolerated
663,663_0,"Preclinical data shared at AACR shows robust anti-tumor activity in vivo as monotherapy and in combination with chemotherapy, at well-tolerated doses, noted April 9, 2024.",safety,POS,well-tolerated
668,668_0,"Phase 1 results demonstrated that for the first five patients (three of whom were PDAC patients), QN-302 is overall well-tolerated (no SAE) and they have reported a ""good"" quality of life during the d","safety,phase",POS,well-tolerated
676,676_0,"Phase 3 trial met its primary endpoint, noted April 9, 2024.","endpoint,phase",POS,met
681,681_0,Phase 1/2a trial shared at AACR reported that two of 12 patients achieved stable disease (SD): one patient from Dose level 1 (50 mg) who progressed on Day 112 and one patient from Dose level 3 (200 mg,"sample,phase",POS,achieved
686,686_0,Phase 1 demonstrated clinically meaningful and statistically significant improvements from baseline in mean sleep latency compared to placebo at all doses tested in both narcolepsy type 2 and idiopath,phase,POS,statistically significant
691,691_0,"Phase 1 trial preliminary results presented at AACR reported that BNT116 + DTX shows encouraging antitumor activity, consistent induction of immune responses, a manageable safety profile, and no signs","safety,phase",POS,manageable safety
692,692_0,"Phase 1 trial preliminary results presented at AACR reported that BNT116 + DTX shows encouraging antitumor activity, consistent induction of immune responses, a manageable safety profile, and no signs","safety,phase",POS,manageable safety
696,696_0,"Phase 1b/2a 240mg data presented at the World Congress of Nephrology showed that treatment continues to be well tolerated in IgA nephropathy, with UPCR reductions of greater than 60% observed at 36 we",safety,POS,well tolerated
697,697_0,"Phase 1b/2a 240mg data presented at the World Congress of Nephrology showed that treatment continues to be well tolerated in IgA nephropathy, with UPCR reductions of greater than 60% observed at 36 we",safety,POS,well tolerated
699,699_0,Phase 2 treatment resulted in statistically significant body composition improvement in men Increased lean mass (LM) by 4.4% and decreased fat mass (FM) by 6.7%.,phase,POS,statistically significant
700,700_0,"Fast track designation granted by the FDA, noted April 11, 2024.",regulatory,POS,Fast track
707,707_0,Phase 3 did not meet pre-defined stopping criteria at the interim analysis; Marinus has completed RAISE enrollment at approximately 100 patients with topline results expected summer 2024.,"sample,phase",NEG,did not meet
708,708_0,Phase 3 did not meet pre-defined stopping criteria at the interim analysis; Marinus has completed RAISE enrollment at approximately 100 patients with topline results expected summer 2024.,"sample,phase",NEG,did not meet
715,715_0,"Phase 3 data show clinically meaningful and statistically significant proteinuria reduction of 38.3% versus placebo, noted April 15, 2024.","effect,phase",POS,statistically significant
716,716_0,"Phase 3 data presented at AAN reported that 67% of patients treated with VYVGART Hytrulo demonstrated evidence of clinical improvement (ECI), including 40% who had achieved ECI by the earliest possibl",phase,POS,achieved
717,717_0,"Phase 3 data presented at AAN reported that 67% of patients treated with VYVGART Hytrulo demonstrated evidence of clinical improvement (ECI), including 40% who had achieved ECI by the earliest possibl",phase,POS,achieved
718,718_0,"Phase 3 data presented at AAN reported that 67% of patients treated with VYVGART Hytrulo demonstrated evidence of clinical improvement (ECI), including 40% who had achieved ECI by the earliest possibl",phase,POS,achieved
719,719_0,"Phase 3 topline results for the 42 mg Cohort achieved statistically significant and clinically meaningful results in both the primary and the key secondary endpoints, noted April 16, 2024.","endpoint,phase,financial",POS,achieved
724,724_0,"Phase 1 additional data presented at AAN demonstrated a favorable safety and tolerability profile in participants with early AD with a relatively low incidence of ARIA-E, noted April 16, 2024.","safety,phase",POS,favorable safety
725,725_0,"Preclinical approval has been received from an independent third-party ethics review board, for human pilot study #2, noted April 16, 2024.",regulatory,POS,approval
730,730_0,"Phase 2 data did not show statistically significant differences versus placebo on the primary endpoint , noted April 17, 2024.","endpoint,phase",POS,statistically significant
731,731_0,"Phase 2 data did not show statistically significant differences versus placebo on the primary endpoint , noted April 17, 2024.","endpoint,phase",POS,statistically significant
743,743_0,"Phase 3 trial met its primary endpoint, noted April 18, 2024.","endpoint,phase",POS,met
750,750_0,"Phase 3 showed that upadacitinib (RINVOQ; 15 mg, once daily) in combination with a 26-week steroid taper regimen achieved its primary endpoint of sustained remissiona from week 12 through week 52, not","endpoint,phase",POS,achieved
751,751_0,Phase 2b data presented at AAN reported that PrimeC met safety and tolerability measures as well as statistically significant slowing of disease progression as demonstrated by the ALSFRS-R by 37% (p=0,"pvalue,safety",POS,met
